"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country","",""
"0","DIPLOMATICO","[4BFLElxtBEdsdwGA1kHTsx]","0.832","0.573","4","-8.699","0","0.1130","0.6470","0.000900","0.1150","0.456","109.992","audio_features","2CgT7751h4Rply3vAkTYEk","spotify:track:2CgT7751h4Rply3vAkTYEk","https://api.spotify.com/v1/tracks/2CgT7751h4Rply3vAkTYEk","https://api.spotify.com/v1/audio-analysis/2CgT7751h4Rply3vAkTYEk","196697","4","Morocco","",""
"1","SRTTT","[7DBIKXxSh2BMPqSN7UB4rS]","0.771","0.682","10","-7.916","0","0.1370","0.2470","0.000000","0.0917","0.656","129.852","audio_features","1l21XzNeseGYg5fNhzTJWE","spotify:track:1l21XzNeseGYg5fNhzTJWE","https://api.spotify.com/v1/tracks/1l21XzNeseGYg5fNhzTJWE","https://api.spotify.com/v1/audio-analysis/1l21XzNeseGYg5fNhzTJWE","149453","4","Morocco","",""
"2","Fi Derbi (feat. ElGrandeToto)","[5yviYTy79A8vuWF8iR6nPS, 4BFLElxtBEdsdwGA1kHTsx]","0.562","0.465","4","-10.223","0","0.5510","0.8770","0.000000","0.0843","0.489","142.127","audio_features","0wKhdPK4fHXRnOskjvgWqe","spotify:track:0wKhdPK4fHXRnOskjvgWqe","https://api.spotify.com/v1/tracks/0wKhdPK4fHXRnOskjvgWqe","https://api.spotify.com/v1/audio-analysis/0wKhdPK4fHXRnOskjvgWqe","164211","3","Morocco","",""
"3","Mahboul Ana","[471CLfthkGwHrnegKOcTbx]","0.523","0.709","9","-9.403","1","0.0928","0.1910","0.000009","0.1090","0.588","143.969","audio_features","0bBDTxFPjtuWAdqLLq55u1","spotify:track:0bBDTxFPjtuWAdqLLq55u1","https://api.spotify.com/v1/tracks/0bBDTxFPjtuWAdqLLq55u1","https://api.spotify.com/v1/audio-analysis/0bBDTxFPjtuWAdqLLq55u1","185000","4","Morocco","",""
"4","YinYang (feat. XCEP & Smallx)","[7DBIKXxSh2BMPqSN7UB4rS, 0eLoiWLwWeaHGNkYke5G1k, 4PgPJfNYhFaHAV5C5dFhYS]","0.589","0.690","1","-5.659","1","0.0449","0.0314","0.000000","0.1110","0.364","84.054","audio_features","1b89rPpatX8ocTRgh78izN","spotify:track:1b89rPpatX8ocTRgh78izN","https://api.spotify.com/v1/tracks/1b89rPpatX8ocTRgh78izN","https://api.spotify.com/v1/audio-analysis/1b89rPpatX8ocTRgh78izN","234853","4","Morocco","",""
"5","Coltellino (feat. Baby Gang)","[4BFLElxtBEdsdwGA1kHTsx, 3LvwPiJQJ0da0GurKMToV0]","0.624","0.759","10","-7.053","0","0.2220","0.1050","0.000103","0.3750","0.458","91.900","audio_features","7cDD6fOmjVI5NN1krdQ9U2","spotify:track:7cDD6fOmjVI5NN1krdQ9U2","https://api.spotify.com/v1/tracks/7cDD6fOmjVI5NN1krdQ9U2","https://api.spotify.com/v1/audio-analysis/7cDD6fOmjVI5NN1krdQ9U2","218121","4","Morocco","",""
"6","Extendo","[7DBIKXxSh2BMPqSN7UB4rS]","0.498","0.550","3","-8.896","0","0.1520","0.1260","0.000075","0.1180","0.181","95.106","audio_features","2wJaC2zP48AElKNUCV2tK1","spotify:track:2wJaC2zP48AElKNUCV2tK1","https://api.spotify.com/v1/tracks/2wJaC2zP48AElKNUCV2tK1","https://api.spotify.com/v1/audio-analysis/2wJaC2zP48AElKNUCV2tK1","165653","4","Morocco","",""
"7","Lalla w Mali","[7vg7wkmGzMEM7p2ZkMPHJS]","0.757","0.507","1","-9.146","0","0.1840","0.0202","0.000000","0.1110","0.205","120.979","audio_features","3Thycu4Wd5AwGFDYYWiioT","spotify:track:3Thycu4Wd5AwGFDYYWiioT","https://api.spotify.com/v1/tracks/3Thycu4Wd5AwGFDYYWiioT","https://api.spotify.com/v1/audio-analysis/3Thycu4Wd5AwGFDYYWiioT","176529","4","Morocco","",""
"8","No Complaints","[7DBIKXxSh2BMPqSN7UB4rS]","0.612","0.661","5","-7.074","0","0.0582","0.3500","0.000000","0.1390","0.231","126.844","audio_features","0E7vM9JTF6RQ0Mb7cZmP8V","spotify:track:0E7vM9JTF6RQ0Mb7cZmP8V","https://api.spotify.com/v1/tracks/0E7vM9JTF6RQ0Mb7cZmP8V","https://api.spotify.com/v1/audio-analysis/0E7vM9JTF6RQ0Mb7cZmP8V","170427","4","Morocco","",""
"9","BLUE LOVE","[4BFLElxtBEdsdwGA1kHTsx]","0.703","0.636","11","-8.157","0","0.0621","0.0753","0.000000","0.1050","0.319","125.919","audio_features","0YZ2ANy2Hhf21koqFpph5F","spotify:track:0YZ2ANy2Hhf21koqFpph5F","https://api.spotify.com/v1/tracks/0YZ2ANy2Hhf21koqFpph5F","https://api.spotify.com/v1/audio-analysis/0YZ2ANy2Hhf21koqFpph5F","187827","4","Morocco","",""
"10","Doubt","[7DBIKXxSh2BMPqSN7UB4rS, 5Et8bRmkENeaA7SPwj1OxL]","0.722","0.633","4","-5.728","0","0.0562","0.0481","0.000000","0.2430","0.557","136.993","audio_features","63TGFckfbvIcSTADS8VHUq","spotify:track:63TGFckfbvIcSTADS8VHUq","https://api.spotify.com/v1/tracks/63TGFckfbvIcSTADS8VHUq","https://api.spotify.com/v1/audio-analysis/63TGFckfbvIcSTADS8VHUq","199707","4","Morocco","",""
"11","Drive (feat. Snor)","[7DBIKXxSh2BMPqSN7UB4rS, 7LC7LQ1f1CzaRLobFcblZN]","0.641","0.690","1","-6.022","1","0.0344","0.1430","0.000216","0.1100","0.286","121.014","audio_features","4F4aAfFLWh5b6Ofwx48O46","spotify:track:4F4aAfFLWh5b6Ofwx48O46","https://api.spotify.com/v1/tracks/4F4aAfFLWh5b6Ofwx48O46","https://api.spotify.com/v1/audio-analysis/4F4aAfFLWh5b6Ofwx48O46","254453","4","Morocco","",""
"12","No Permission (feat. Khali)","[7DBIKXxSh2BMPqSN7UB4rS, 0rqQfmTWtmxzlrNmnruQXS]","0.739","0.762","4","-6.198","0","0.0685","0.1740","0.000001","0.5920","0.362","120.004","audio_features","05pWfq3KOsY4TUmBnam3j7","spotify:track:05pWfq3KOsY4TUmBnam3j7","https://api.spotify.com/v1/tracks/05pWfq3KOsY4TUmBnam3j7","https://api.spotify.com/v1/audio-analysis/05pWfq3KOsY4TUmBnam3j7","192427","4","Morocco","",""
"13","Spliff","[7DBIKXxSh2BMPqSN7UB4rS]","0.671","0.715","11","-7.511","0","0.2730","0.0301","0.000004","0.4250","0.278","135.091","audio_features","2HdScolhznqzKsBMfYvmBk","spotify:track:2HdScolhznqzKsBMfYvmBk","https://api.spotify.com/v1/tracks/2HdScolhznqzKsBMfYvmBk","https://api.spotify.com/v1/audio-analysis/2HdScolhznqzKsBMfYvmBk","131613","4","Morocco","",""
"14","Love Me Again","[3JsHnjpbhX4SnySpvpa9DK]","0.633","0.607","0","-6.182","0","0.0532","0.1830","0.000001","0.1670","0.363","74.029","audio_features","2N0SPREDYqILVEFSsWF5N5","spotify:track:2N0SPREDYqILVEFSsWF5N5","https://api.spotify.com/v1/tracks/2N0SPREDYqILVEFSsWF5N5","https://api.spotify.com/v1/audio-analysis/2N0SPREDYqILVEFSsWF5N5","182293","4","Morocco","",""
