id,type,label
Andorra,country,Andorra
Austria,country,Austria
Belarus,country,Belarus
Belgium,country,Belgium
Bulgaria,country,Bulgaria
Czech Republic,country,Czech Republic
Denmark,country,Denmark
Estonia,country,Estonia
Finland,country,Finland
France,country,France
Germany,country,Germany
Greece,country,Greece
Hungary,country,Hungary
Iceland,country,Iceland
Ireland,country,Ireland
Italy,country,Italy
Latvia,country,Latvia
Lithuania,country,Lithuania
Luxembourg,country,Luxembourg
Netherlands,country,Netherlands
Norway,country,Norway
Poland,country,Poland
Romania,country,Romania
Slovakia,country,Slovakia
Spain,country,Spain
Sweden,country,Sweden
Switzerland,country,Switzerland
Ukraine,country,Ukraine
United Kingdom,country,United Kingdom
danceability,attribut,danceability
energy,attribut,energy
key,attribut,key
loudness,attribut,loudness
mode,attribut,mode
speechiness,attribut,speechiness
acousticness,attribut,acousticness
instrumentalness,attribut,instrumentalness
liveness,attribut,liveness
valence,attribut,valence
tempo,attribut,tempo
