Source,Target,Weight
2YZyLoL8N0Wb9xBt1NhZWg,Saudi Arabia,1
2YZyLoL8N0Wb9xBt1NhZWg,Canada,1
1jiZvw42D4oquLl24x2VWV,United States,1
2YZyLoL8N0Wb9xBt1NhZWg,United States,13
7tYKF4w9nC0nq9CsPZTHyP,Malaysia,2
4VHa48wXlsDA2vWfgIi7cX,United States,1
6cUpFVxDYWed9WxtC4QgC5,United States,1
7J5UWTbsUFjoSQZQCQCqbQ,United States,1
757aE44tKEUQEqRuT6GnEB,United States,1
4tuJ0bMpJh08umKkEXKUI5,United Kingdom,2
4V8LLVI7PbaPR0K2TGSxFF,United Kingdom,1
2qoQgPAilErOKCwE2Y8wOG,Canada,1
3DbwFQlvLxRSi2uX8mf81A,Canada,1
55Aa2cqylxrFIXC767Z865,Canada,1
6fqjJNsLs7g6F3PXy01Xnw,United States,1
1HY2Jd0NmPuamShAr6KMms,Vietnam,1
0du5cEVh5yTK9QJze8zA0C,Vietnam,2
1iCnM8foFssWlPRLfAbIwo,United Kingdom,1
50DchbKTiJU56SYmIRSJCI,United States,1
1q2nUylEqrRJkiDkXa39Mw,United States,1
27OdVby2oeFjM1C5XvC3hC,United States,1
3eVa5w3URK5duf6eyVDbu9,Vietnam,1
6qqNVTkY8uBg9cP3Jd7DAH,United Kingdom,3
4V8LLVI7PbaPR0K2TGSxFF,New Zealand,2
67FB4n52MgexGQIG8s0yUH,United States,1
1oSPZhvZMIrWW5I41kPkkY,Vietnam,1
1Xyo4u8uXC1ZmMpatF05PJ,United Kingdom,1
699OTQXzgjhIYAHMy9RyPD,United Kingdom,1
46UMQ0cW8ToR8egkBRwAxZ,United States,2
66CXWjxzNUsdJxJ2JdwvnR,Singapore,1
74KM79TiuVKeVCqs8QtB0B,United Kingdom,5
4cPHsZM98sKzmV26wlwD2W,Canada,1
4iHNK0tOyZPYnBU7nGAgpQ,United Kingdom,1
7GlBOeep6PqTfFi59PTUUN,United Kingdom,3
20wkVLutqVOYrc0kxFs7rA,United Kingdom,1
38EmEgXkgK51MT2tPY0EoC,United States,1
5lpH0xAS4fVfLkACg9DAuM,United Kingdom,1
3y2cIKLjiOlp1Np37WiUdH,United Kingdom,1
2qoQgPAilErOKCwE2Y8wOG,United States,2
3DbwFQlvLxRSi2uX8mf81A,United States,2
246dkjvS1zLTtiykXe5h60,United Kingdom,1
4oUHIQIBe0LHzYfvXNW4QM,United Kingdom,1
5j4HeCoUlzhfWtjAfM1acR,United States,1
6e3pZKXUxrPfnUPJ960Hd9,United States,1
57nPqD7z62gDdq37US9XJR,United States,1
2tIP7SsRs7vjIcLrU85W8J,United Kingdom,1
33qOK5uJ8AR2xuQQAhHump,United Kingdom,3
3l9G1G9MxH6DaRhwLklaf5,Venezuela,1
0ys2OFYzWYB5hRDLCsBqxt,Venezuela,1
22wbnEMDvgVIAGdFeek6ET,United Kingdom,2
2sSGPbdZJkaSE2AbcGOACx,Saudi Arabia,1
66CXWjxzNUsdJxJ2JdwvnR,Philippines,1
66CXWjxzNUsdJxJ2JdwvnR,Malaysia,1
4oUHIQIBe0LHzYfvXNW4QM,Sweden,2
77SW9BnxLY8rJ0RciFqkHh,Ukraine,1
2RQXRUsr4IW1f3mKyKsy4B,United Kingdom,1
78F6Xkd46aMHkr4AP60TXY,Venezuela,1
3E12tRURRvPfHz0hAMCFYc,Venezuela,3
54seKvtsZauR1iauN0ptpo,Venezuela,3
30Ml7nTMkXYyb0UoLwtmCc,Spain,1
7iK8PXO48WeuP03g8YR51W,Venezuela,1
5CiGnKThu5ctn9pBxv7DGa,Venezuela,1
0CVOcYvRcSvOXyuR4YGKaC,Spain,1
2tmrdVbpFzIVIOcqxvErj2,Spain,1
4F4pp8NUW08JuXwnoxglpN,Spain,1
0EmeFodog0BfCgMzAIvKQp,Venezuela,1
1HY2Jd0NmPuamShAr6KMms,Venezuela,1
0du5cEVh5yTK9QJze8zA0C,Venezuela,2
37S0GFsBW73uqxGXNFeADJ,Spain,1
0VZrPa7mWAYXH4CwmYk8Km,Spain,1
0FwnPHExlRRxEZPLAi5tmG,Spain,5
4RWJOoYwgF978LOn8Fainp,Venezuela,1
3SCOuAxngTC1yGjKMcIPEd,Venezuela,1
0tmwSHipWxN12fsoLcFU3B,Venezuela,1
3UTF2no3muGdiFXVujl94i,Venezuela,3
5qPeAT4ikl6gJNUexAOEy0,Andorra,2
6TKygPpVT29oGUogu4J9Ec,Venezuela,3
34PYzJSu4DHKEyhdBfsn0E,Spain,1
22dFwJoRBV51ue5TGnC7Dt,Spain,2
1iCnM8foFssWlPRLfAbIwo,Switzerland,1
2NeFajzkAQ4UfviWdzf0pK,Andorra,1
6XyY86QOPPrYVGvF9ch6wz,Switzerland,3
1XSmez9xyCCPpOZp0uImwM,Andorra,1
6B1hSmaLdOvChinK2Z7gfi,Venezuela,1
2LRoIwlKmHjgvigdNGBHNo,Venezuela,7
6k8mwkKJKKjBILo7ypBspl,Spain,1
0AqlFI0tz2DsEoJlKSIiT9,Uruguay,3
790FomKkXshlbRYZFtlgla,Venezuela,4
0ZHPrnImGh4re3TbSNkoZl,Andorra,1
4az97MtWmBQ5Db3GfDh9j9,Spain,2
2CCgb0KApjfQDuTppovpf8,Spain,1
5C4PDR4LnhZTbVnKWXuDKD,Nicaragua,7
5PlfkPxwCpRRWQJBxCa0By,Switzerland,1
0u6GtibW46tFX7koQ6uNJZ,Switzerland,1
7hQmAXAzWI6D350VTgkKTG,Switzerland,1
1IFAU4mznUcfPVP9z2c24N,Switzerland,1
2enhM5DK9oTxWiCVpFIDv3,Andorra,1
1Yj5Xey7kTwvZla8sqdsdE,Uruguay,1
1U1el3k54VvEUzo3ybLPlM,Philippines,1
6nVcHLIgY5pE2YCl8ubca1,Peru,1
0WwSkZ7LtFUFjGjMZBMt6T,Andorra,1
4BnXLYKwUhFGUmYE5mPNox,Andorra,1
6mQDo8xYI31LFjmhIsZEWg,Andorra,1
3QqpGThGBmUjiYeF8biKlM,Andorra,1
