Id,Label,Popularity,Followers
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,97,34810650
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,76,34818
7tYKF4w9nC0nq9CsPZTHyP,SZA,92,24716945
4VHa48wXlsDA2vWfgIi7cX,Dody6,72,11983
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,72,32946
7J5UWTbsUFjoSQZQCQCqbQ,Siete7x,72,2940
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,80,11015491
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,91,3296708
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",94,18061113
2qoQgPAilErOKCwE2Y8wOG,GloRilla,83,1422531
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,82,1579306
55Aa2cqylxrFIXC767Z865,Lil Wayne,89,15722034
6fqjJNsLs7g6F3PXy01Xnw,AzChike,71,117300
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,33083714
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,63153139
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,82,574714
50DchbKTiJU56SYmIRSJCI,Hitta J3,69,7287
1q2nUylEqrRJkiDkXa39Mw,YoungThreat,69,11842
27OdVby2oeFjM1C5XvC3hC,Peysoh,70,160411
3eVa5w3URK5duf6eyVDbu9,ROSÉ,86,8331839
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,103084200
67FB4n52MgexGQIG8s0yUH,Lola Young,77,346524
1oSPZhvZMIrWW5I41kPkkY,Jimin,88,9639836
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,95411178
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,12395960
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,78,284597
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,101473777
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,15653007
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,77,410321
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85,10691052
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,88,4071059
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,7372380
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,75,56378
5lpH0xAS4fVfLkACg9DAuM,Wham!,79,2859734
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,829146
246dkjvS1zLTtiykXe5h60,Post Malone,91,45922292
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,90,11238450
5j4HeCoUlzhfWtjAfM1acR,Stromae,80,3513085
6e3pZKXUxrPfnUPJ960Hd9,Pomme,78,685736
57nPqD7z62gDdq37US9XJR,Arcane,85,375843
