id_genre,id_artiste
pop,7tYKF4w9nC0nq9CsPZTHyP
rap,7tYKF4w9nC0nq9CsPZTHyP
r&b,7tYKF4w9nC0nq9CsPZTHyP
rap,6cUpFVxDYWed9WxtC4QgC5
trap,757aE44tKEUQEqRuT6GnEB
rap,757aE44tKEUQEqRuT6GnEB
hip hop,4V8LLVI7PbaPR0K2TGSxFF
rap,4V8LLVI7PbaPR0K2TGSxFF
hip hop,2qoQgPAilErOKCwE2Y8wOG
trap,3DbwFQlvLxRSi2uX8mf81A
rap,3DbwFQlvLxRSi2uX8mf81A
hip hop,55Aa2cqylxrFIXC767Z865
pop,55Aa2cqylxrFIXC767Z865
trap,55Aa2cqylxrFIXC767Z865
rap,55Aa2cqylxrFIXC767Z865
rap,6fqjJNsLs7g6F3PXy01Xnw
pop,1HY2Jd0NmPuamShAr6KMms
pop,0du5cEVh5yTK9QJze8zA0C
pop,1iCnM8foFssWlPRLfAbIwo
pop,3eVa5w3URK5duf6eyVDbu9
k-pop,3eVa5w3URK5duf6eyVDbu9
pop,6qqNVTkY8uBg9cP3Jd7DAH
pop,67FB4n52MgexGQIG8s0yUH
pop,1oSPZhvZMIrWW5I41kPkkY
k-pop,1oSPZhvZMIrWW5I41kPkkY
pop,1Xyo4u8uXC1ZmMpatF05PJ
r&b,1Xyo4u8uXC1ZmMpatF05PJ
hip hop,699OTQXzgjhIYAHMy9RyPD
rap,699OTQXzgjhIYAHMy9RyPD
pop,46UMQ0cW8ToR8egkBRwAxZ
pop,66CXWjxzNUsdJxJ2JdwvnR
pop,74KM79TiuVKeVCqs8QtB0B
rock,4cPHsZM98sKzmV26wlwD2W
pop,4iHNK0tOyZPYnBU7nGAgpQ
pop,7GlBOeep6PqTfFi59PTUUN
r&b,20wkVLutqVOYrc0kxFs7rA
pop,5lpH0xAS4fVfLkACg9DAuM
rock,5lpH0xAS4fVfLkACg9DAuM
pop,3y2cIKLjiOlp1Np37WiUdH
rap,3y2cIKLjiOlp1Np37WiUdH
country,3y2cIKLjiOlp1Np37WiUdH
pop,246dkjvS1zLTtiykXe5h60
rap,246dkjvS1zLTtiykXe5h60
country,4oUHIQIBe0LHzYfvXNW4QM
house,5j4HeCoUlzhfWtjAfM1acR
pop,5j4HeCoUlzhfWtjAfM1acR
pop,6e3pZKXUxrPfnUPJ960Hd9
hip hop,2tIP7SsRs7vjIcLrU85W8J
corrido,3l9G1G9MxH6DaRhwLklaf5
corrido,0ys2OFYzWYB5hRDLCsBqxt
sierreno,0ys2OFYzWYB5hRDLCsBqxt
pop,22wbnEMDvgVIAGdFeek6ET
pop,2sSGPbdZJkaSE2AbcGOACx
pop,77SW9BnxLY8rJ0RciFqkHh
rock,77SW9BnxLY8rJ0RciFqkHh
pop,2RQXRUsr4IW1f3mKyKsy4B
trap,78F6Xkd46aMHkr4AP60TXY
rap,78F6Xkd46aMHkr4AP60TXY
trap,3E12tRURRvPfHz0hAMCFYc
rap,3E12tRURRvPfHz0hAMCFYc
urbano latino,3E12tRURRvPfHz0hAMCFYc
trap,54seKvtsZauR1iauN0ptpo
rap,54seKvtsZauR1iauN0ptpo
urbano latino,54seKvtsZauR1iauN0ptpo
trap,7iK8PXO48WeuP03g8YR51W
rap,7iK8PXO48WeuP03g8YR51W
urbano latino,7iK8PXO48WeuP03g8YR51W
pop,5CiGnKThu5ctn9pBxv7DGa
pop,0CVOcYvRcSvOXyuR4YGKaC
trap,4F4pp8NUW08JuXwnoxglpN
rap,4F4pp8NUW08JuXwnoxglpN
urbano latino,4F4pp8NUW08JuXwnoxglpN
pop,0EmeFodog0BfCgMzAIvKQp
rap,37S0GFsBW73uqxGXNFeADJ
trap,0VZrPa7mWAYXH4CwmYk8Km
rap,0VZrPa7mWAYXH4CwmYk8Km
drill,0VZrPa7mWAYXH4CwmYk8Km
urbano latino,0VZrPa7mWAYXH4CwmYk8Km
pop,3SCOuAxngTC1yGjKMcIPEd
pop,0tmwSHipWxN12fsoLcFU3B
trap,0tmwSHipWxN12fsoLcFU3B
rap,0tmwSHipWxN12fsoLcFU3B
urbano latino,0tmwSHipWxN12fsoLcFU3B
rock,5qPeAT4ikl6gJNUexAOEy0
trap,6TKygPpVT29oGUogu4J9Ec
rap,6TKygPpVT29oGUogu4J9Ec
urbano latino,6TKygPpVT29oGUogu4J9Ec
drill,22dFwJoRBV51ue5TGnC7Dt
pop,2NeFajzkAQ4UfviWdzf0pK
rap,6XyY86QOPPrYVGvF9ch6wz
