Id,Label,Popularity,Followers,Type
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,97,34810650,artist
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,76,34818,artist
7tYKF4w9nC0nq9CsPZTHyP,SZA,92,24716945,artist
4VHa48wXlsDA2vWfgIi7cX,Dody6,72,11983,artist
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,72,32946,artist
7J5UWTbsUFjoSQZQCQCqbQ,Siete7x,72,2940,artist
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,80,11015491,artist
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,91,3296708,artist
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",94,18061113,artist
2qoQgPAilErOKCwE2Y8wOG,GloRilla,83,1422531,artist
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,82,1579306,artist
55Aa2cqylxrFIXC767Z865,Lil Wayne,89,15722034,artist
6fqjJNsLs7g6F3PXy01Xnw,AzChike,71,117300,artist
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,33083714,artist
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,63153139,artist
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,82,574714,artist
50DchbKTiJU56SYmIRSJCI,Hitta J3,69,7287,artist
1q2nUylEqrRJkiDkXa39Mw,YoungThreat,69,11842,artist
27OdVby2oeFjM1C5XvC3hC,Peysoh,70,160411,artist
3eVa5w3URK5duf6eyVDbu9,ROSÉ,86,8331839,artist
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,103084200,artist
67FB4n52MgexGQIG8s0yUH,Lola Young,77,346524,artist
1oSPZhvZMIrWW5I41kPkkY,Jimin,88,9639836,artist
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,95411178,artist
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90,12395960,artist
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,78,284597,artist
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95,101473777,artist
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,15653007,artist
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,77,410321,artist
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85,10691052,artist
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,88,4071059,artist
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,7372380,artist
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,75,56378,artist
5lpH0xAS4fVfLkACg9DAuM,Wham!,79,2859734,artist
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,829146,artist
246dkjvS1zLTtiykXe5h60,Post Malone,91,45922292,artist
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,90,11238450,artist
5j4HeCoUlzhfWtjAfM1acR,Stromae,80,3513085,artist
6e3pZKXUxrPfnUPJ960Hd9,Pomme,78,685736,artist
57nPqD7z62gDdq37US9XJR,Arcane,85,375843,artist
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,85,5890212,artist
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,87,3488512,artist
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,88,3405181,artist
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91,12711223,artist
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86,4010734,artist
2sSGPbdZJkaSE2AbcGOACx,The Marías,80,1737134,artist
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86,18693277,artist
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86,3601728,artist
78F6Xkd46aMHkr4AP60TXY,Clarent,71,146924,artist
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,81,445692,artist
54seKvtsZauR1iauN0ptpo,De La Rose,79,314448,artist
30Ml7nTMkXYyb0UoLwtmCc,Los Diozes,62,50058,artist
7iK8PXO48WeuP03g8YR51W,Myke Towers,90,17456320,artist
5CiGnKThu5ctn9pBxv7DGa,benny blanco,79,1252138,artist
0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,69,263822,artist
2tmrdVbpFzIVIOcqxvErj2,Los Sufridos,62,8269,artist
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75,1862040,artist
0EmeFodog0BfCgMzAIvKQp,Shakira,88,35631318,artist
37S0GFsBW73uqxGXNFeADJ,Ghost Killer Track,61,40671,artist
0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,72,2940322,artist
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,76,1013258,artist
4RWJOoYwgF978LOn8Fainp,Yami Safdie,71,331415,artist
3SCOuAxngTC1yGjKMcIPEd,Lasso,72,883128,artist
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,84,14313708,artist
3UTF2no3muGdiFXVujl94i,Kapo,81,329216,artist
5qPeAT4ikl6gJNUexAOEy0,Oques Grasses,61,182475,artist
6TKygPpVT29oGUogu4J9Ec,Yan Block,78,244886,artist
34PYzJSu4DHKEyhdBfsn0E,TORRRES,63,11010,artist
22dFwJoRBV51ue5TGnC7Dt,Beny Jr,77,1528476,artist
2NeFajzkAQ4UfviWdzf0pK,Marta Santos,66,144015,artist
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,93,27824989,artist
1XSmez9xyCCPpOZp0uImwM,Rita Payés,56,161635,artist
6B1hSmaLdOvChinK2Z7gfi,Maisak,72,63861,artist
2LRoIwlKmHjgvigdNGBHNo,Feid,92,14984288,artist
6k8mwkKJKKjBILo7ypBspl,Ana Mena,69,971467,artist
0AqlFI0tz2DsEoJlKSIiT9,Emilia,81,3856979,artist
790FomKkXshlbRYZFtlgla,KAROL G,91,52495430,artist
0ZHPrnImGh4re3TbSNkoZl,Beret,71,3088827,artist
4az97MtWmBQ5Db3GfDh9j9,Morad,80,3681309,artist
2CCgb0KApjfQDuTppovpf8,Rvfv,75,778702,artist
5C4PDR4LnhZTbVnKWXuDKD,Morat,83,12357845,artist
5PlfkPxwCpRRWQJBxCa0By,HUGEL,78,372703,artist
0u6GtibW46tFX7koQ6uNJZ,Topic,77,270206,artist
7hQmAXAzWI6D350VTgkKTG,Arash,72,261481,artist
1IFAU4mznUcfPVP9z2c24N,Daecolm,71,13799,artist
2enhM5DK9oTxWiCVpFIDv3,Figa Flawas,61,59066,artist
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,87,4438239,artist
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,86,8154368,artist
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,84,8255768,artist
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,78,7976501,artist
4BnXLYKwUhFGUmYE5mPNox,Las 2K,55,4636,artist
6mQDo8xYI31LFjmhIsZEWg,Chardo Chardemio,55,2459,artist
3QqpGThGBmUjiYeF8biKlM,Melody Records International,55,2379,artist
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,90,37753901,artist
1x8mAhfvCw7JXRX7Ild0lF,Hey Kid,57,20448,artist
6i0h6wBrfNkdf3eTUoelpP,Malmö 040,58,35378,artist
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,81,2942941,artist
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,80,4047775,artist
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,80,5468992,artist
7FNnA9vBm6EKceENgCGRMb,Anitta,83,12805981,artist
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,77,8406346,artist
60ZOYUFnCYEeKYsxgvPxOS,Cano,71,502190,artist
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,71,3106312,artist
1bAftSH8umNcGZ0uyV7LMg,Duki,86,11588541,artist
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,91,55022595,artist
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,71,1094413,artist
3wcj11K77LjEY1PkEazffa,Burna Boy,80,10793010,artist
0jIWKlfmD4Ew7HeVVrq03g,Elyanna,71,232914,artist
7vXDAI8JwjW531ouMGbfcp,TINI,79,8544429,artist
2V9MnjEMqwXm7sice07NQK,Diegote,57,81918,artist
4kcQWQDK0u9AftVSpdrAgk,Luck Ra,77,1904556,artist
5TP8Ubo4jLKEi4Mw2O8fAk,BM,70,1005159,artist
2OhUNb01gLwygOizYvTm0e,Big One,75,681652,artist
2BTS8Np1YzPQuXjgdlqsBB,Emanero,71,515739,artist
55ru5B05MMBunM1tvH7Di6,Valentino Merlo,74,267286,artist
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,71,821608,artist
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,63,62275,artist
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,82,7258191,artist
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,79,7886635,artist
06Q5VlSAku57lFzyME3HrM,Ke Personajes,78,4052740,artist
4oZolC0sCwCAKqsNXfRlVS,The La Planta,73,471202,artist
7yIp2QRLkQ6loIrupimiri,Pinky SD,78,40960,artist
2Mt2vBBEckrvXtg0JldwZ0,Un Poco de Ruido,78,178147,artist
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,71,195821,artist
6HTUcOExehqydqa7C3usAa,Abel Pintos,70,3505565,artist
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,73,1989837,artist
19HM5j0ULGSmEoRcrSe5x3,Milo j,83,5336010,artist
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,80,7869075,artist
