id,label,popularity,type,main_continent
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,97.0,Artist,North America
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,76.0,Artist,North America
7tYKF4w9nC0nq9CsPZTHyP,SZA,92.0,Artist,Asia
4VHa48wXlsDA2vWfgIi7cX,Dody6,72.0,Artist,North America
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,72.0,Artist,North America
7J5UWTbsUFjoSQZQCQCqbQ,Siete7x,72.0,Artist,North America
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,80.0,Artist,North America
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,91.0,Artist,Europe
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",94.0,Artist,North America
2qoQgPAilErOKCwE2Y8wOG,GloRilla,83.0,Artist,North America
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,82.0,Artist,North America
55Aa2cqylxrFIXC767Z865,Lil Wayne,89.0,Artist,North America
6fqjJNsLs7g6F3PXy01Xnw,AzChike,71.0,Artist,North America
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92.0,Artist,Europe
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96.0,Artist,Asia
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,82.0,Artist,Europe
50DchbKTiJU56SYmIRSJCI,Hitta J3,69.0,Artist,North America
1q2nUylEqrRJkiDkXa39Mw,YoungThreat,69.0,Artist,North America
27OdVby2oeFjM1C5XvC3hC,Peysoh,70.0,Artist,North America
3eVa5w3URK5duf6eyVDbu9,ROSÉ,86.0,Artist,Oceania
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96.0,Artist,Europe
67FB4n52MgexGQIG8s0yUH,Lola Young,77.0,Artist,North America
1oSPZhvZMIrWW5I41kPkkY,Jimin,88.0,Artist,Europe
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96.0,Artist,Europe
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,90.0,Artist,Oceania
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,78.0,Artist,North America
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95.0,Artist,North America
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94.0,Artist,Asia
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,77.0,Artist,North America
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85.0,Artist,Europe
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,88.0,Artist,North America
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87.0,Artist,Asia
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,75.0,Artist,North America
5lpH0xAS4fVfLkACg9DAuM,Wham!,79.0,Artist,Europe
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80.0,Artist,Oceania
246dkjvS1zLTtiykXe5h60,Post Malone,91.0,Artist,Oceania
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,90.0,Artist,North America
5j4HeCoUlzhfWtjAfM1acR,Stromae,80.0,Artist,North America
6e3pZKXUxrPfnUPJ960Hd9,Pomme,78.0,Artist,North America
57nPqD7z62gDdq37US9XJR,Arcane,85.0,Artist,North America
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,85.0,Artist,Oceania
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,87.0,Artist,Europe
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,88.0,Artist,North America
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91.0,Artist,North America
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86.0,Artist,Oceania
2sSGPbdZJkaSE2AbcGOACx,The Marías,80.0,Artist,Asia
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86.0,Artist,Europe
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86.0,Artist,Oceania
78F6Xkd46aMHkr4AP60TXY,Clarent,71.0,Artist,Europe
3E12tRURRvPfHz0hAMCFYc,Omar Courtz,81.0,Artist,South America
54seKvtsZauR1iauN0ptpo,De La Rose,79.0,Artist,South America
30Ml7nTMkXYyb0UoLwtmCc,Los Diozes,62.0,Artist,Europe
7iK8PXO48WeuP03g8YR51W,Myke Towers,90.0,Artist,Europe
5CiGnKThu5ctn9pBxv7DGa,benny blanco,79.0,Artist,Europe
0CVOcYvRcSvOXyuR4YGKaC,Dani Fernández,69.0,Artist,Europe
2tmrdVbpFzIVIOcqxvErj2,Los Sufridos,62.0,Artist,Europe
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,75.0,Artist,Europe
0EmeFodog0BfCgMzAIvKQp,Shakira,88.0,Artist,Europe
37S0GFsBW73uqxGXNFeADJ,Ghost Killer Track,61.0,Artist,Europe
0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,72.0,Artist,Europe
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,76.0,Artist,Europe
4RWJOoYwgF978LOn8Fainp,Yami Safdie,71.0,Artist,Europe
3SCOuAxngTC1yGjKMcIPEd,Lasso,72.0,Artist,Europe
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,84.0,Artist,Europe
3UTF2no3muGdiFXVujl94i,Kapo,81.0,Artist,Europe
5qPeAT4ikl6gJNUexAOEy0,Oques Grasses,61.0,Artist,Europe
6TKygPpVT29oGUogu4J9Ec,Yan Block,78.0,Artist,Europe
34PYzJSu4DHKEyhdBfsn0E,TORRRES,63.0,Artist,Europe
22dFwJoRBV51ue5TGnC7Dt,Beny Jr,77.0,Artist,Europe
2NeFajzkAQ4UfviWdzf0pK,Marta Santos,66.0,Artist,Europe
