id_genre,id_artiste,pays
1793,2,Malaysia
1795,2,Malaysia
1793,4,United States
1793,6,United States
1794,6,United States
1793,8,Canada
1797,8,Canada
1797,9,United States
1793,10,United States
1794,10,United States
1793,11,Canada
1794,11,Canada
1795,11,Canada
1797,11,Canada
1793,12,United States
1795,13,Andorra
1795,14,Malaysia
1795,15,Andorra
1795,19,Australia
1795,20,Estonia
1795,21,United States
1795,22,Belarus
1795,23,Austria
1793,24,Australia
1797,24,Australia
1795,25,United States
1795,26,United States
1795,27,Singapore
1799,28,Canada
1795,29,Austria
1795,30,Canada
1795,33,Austria
1799,33,Austria
1793,34,Australia
1795,34,Australia
1793,35,Australia
1795,35,Australia
1795,37,United States
1795,38,United States
1797,40,Australia
1795,44,Australia
1795,45,Saudi Arabia
1795,46,Latvia
1799,46,Latvia
1795,47,Australia
1793,48,Andorra
1794,48,Andorra
1793,49,Venezuela
1794,49,Venezuela
1798,49,Venezuela
1793,50,Venezuela
1794,50,Venezuela
1798,50,Venezuela
1793,52,Spain
1794,52,Spain
1796,52,Spain
1798,52,Spain
1795,53,Andorra
1795,54,Andorra
1793,56,Andorra
1794,56,Andorra
1798,56,Andorra
1795,57,Andorra
1793,58,Andorra
1793,59,Andorra
1794,59,Andorra
1798,59,Andorra
1800,59,Andorra
1795,62,Andorra
1793,63,Spain
1794,63,Spain
1795,63,Spain
1796,63,Spain
1798,63,Spain
1799,65,Andorra
1793,66,Spain
1794,66,Spain
1798,66,Spain
1800,68,Andorra
1795,69,Andorra
1793,70,Austria
1799,70,Austria
1793,73,Colombia
1794,73,Colombia
1795,73,Colombia
1796,73,Colombia
1798,73,Colombia
1795,74,Andorra
1795,75,Argentina
1796,76,Bolivia
1798,76,Bolivia
1795,77,Andorra
1797,77,Andorra
1800,78,Spain
1798,79,Andorra
1800,79,Andorra
1795,80,Nicaragua
1795,82,Andorra
1795,83,Andorra
1793,86,Chile
1794,86,Chile
1798,86,Chile
1795,87,Andorra
1793,88,Andorra
1794,88,Andorra
1796,88,Andorra
1798,88,Andorra
1799,89,Andorra
1795,93,Andorra
1795,96,Andorra
1795,97,Andorra
1793,98,Argentina
1794,98,Argentina
1798,98,Argentina
1795,99,Andorra
1801,99,Andorra
1795,100,Andorra
1793,101,Andorra
1795,102,Andorra
1799,102,Andorra
1793,103,Argentina
1794,103,Argentina
1797,103,Argentina
1798,103,Argentina
1795,104,Australia
