artist,genre,pays
Omar Courtz,urbano latino,Spain
De La Rose,urbano latino,Spain
De La Rose,urbano latino,Spain
Myke Towers,urbano latino,Spain
benny blanco,pop,Spain
Dani Fernández,pop,Spain
Dani Fernández,pop,Spain
Bad Gyal,urbano latino,Spain
Shakira,pop,Spain
Lady Gaga,pop,United Kingdom
Bruno Mars,pop,United Kingdom
Ghost Killer Track,rap,Spain
Kidd Keo,drill,Spain
Kidd Keo,drill,Spain
Kidd Keo,drill,Spain
Lasso,pop,Andorra
Manuel Turizo,urbano latino,Spain
Manuel Turizo,urbano latino,Spain
Oques Grasses,rock,Andorra
Yan Block,urbano latino,Spain
Yan Block,urbano latino,Spain
Yan Block,urbano latino,Spain
Beny Jr,drill,Spain
Gigi Perez,pop,United Kingdom
Marta Santos,pop,Andorra
Marta Santos,pop,Andorra
Linkin Park,rock,Switzerland
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Oques Grasses,rock,Andorra
Feid,urbano latino,Spain
Feid,urbano latino,Spain
Ana Mena,pop,Spain
Emilia,pop,Spain
KAROL G,urbano latino,Switzerland
Beret,hip hop,Andorra
Morad,drill,Spain
Beny Jr,drill,Spain
Rvfv,drill,Spain
Morat,pop,Andorra
Morat,pop,Andorra
Topic,pop,Switzerland
Arash,pop,Switzerland
Arash,pop,Switzerland
Arash,pop,Switzerland
Cris Mj,urbano latino,Switzerland
Kali Uchis,pop,Latvia
JHAYCO,urbano latino,Andorra
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
Dire Straits,rock,Andorra
One Direction,pop,Ireland
One Direction,pop,Ireland
One Direction,pop,Ireland
Lost Frequencies,pop,Switzerland
Tom Odell,pop,Switzerland
Tiago PZK,urbano latino,Andorra
Anitta,funk,Ukraine
Emilia,pop,Andorra
Emilia,pop,Andorra
Tom Odell,pop,Switzerland
Chayanne,pop,Andorra
Cano,rap,Spain
Cano,rap,Spain
Snow Patrol,rock,Andorra
Snow Patrol,rock,Andorra
Cano,rap,Spain
Rvfv,drill,Andorra
Duki,urbano latino,Spain
Lady Gaga,pop,Ukraine
Coldplay,pop,United Kingdom
Little Simz,trap,Netherlands
Burna Boy,hip hop,Netherlands
Elyanna,pop,Netherlands
TINI,pop,Netherlands
TINI,pop,Netherlands
Luck Ra,trap,Andorra
Luck Ra,trap,Andorra
Linkin Park,rock,Switzerland
Linkin Park,rock,Switzerland
Lady Gaga,pop,Switzerland
Bruno Mars,pop,United Kingdom
Gigi Perez,pop,Switzerland
Nina Chuba,hip hop,Switzerland
ROSÉ,pop,United Kingdom
Bruno Mars,pop,Ukraine
Billie Eilish,pop,United Kingdom
Jazeek,hip hop,Switzerland
Mariah Carey,pop,United Kingdom
Wham!,rock,United Kingdom
Wham!,rock,United Kingdom
Jazeek,hip hop,Switzerland
Luciano,drill,Switzerland
Miksu / Macloud,hip hop,Switzerland
Shirin David,hip hop,Germany
Linkin Park,rock,Switzerland
Summer Cem,hip hop,Switzerland
Summer Cem,hip hop,Switzerland
Shirin David,hip hop,Germany
Sampagne,hip hop,Germany
Benson Boone,pop,United Kingdom
Chappell Roan,pop,United Kingdom
Chappell Roan,pop,United Kingdom
The Weeknd,pop,United Kingdom
Playboi Carti,hip hop,United Kingdom
Billie Eilish,pop,United Kingdom
Travis Scott,rap,Switzerland
Playboi Carti,hip hop,Ukraine
Linkin Park,rock,Slovakia
The Weeknd,pop,Ukraine
Anitta,funk,Switzerland
Natasha Bedingfield,pop,United Kingdom
Shaboozey,pop,United Kingdom
Shaboozey,pop,United Kingdom
Jimin,pop,Romania
FOURTY,hip hop,Germany
Bausa,hip hop,Germany
Bausa,hip hop,Germany
Ndotz,drill,United Kingdom
KC Rebell,drill,Switzerland
The Neighbourhood,rock,Ukraine
Mark Ambor,pop,Switzerland
Mark Ambor,pop,Switzerland
Shakin' Stevens,rock,Austria
Sabrina Carpenter,pop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
Hozier,rock,United Kingdom
Journey,rock,Ireland
Journey,rock,Ireland
Sia,pop,Norway
Souly,hip hop,Germany
Souly,hip hop,Germany
Souly,hip hop,Germany
Myles Smith,pop,United Kingdom
Linkin Park,rock,Luxembourg
Tom Odell,pop,Netherlands
Vance Joy,rock,United Kingdom
Vance Joy,rock,United Kingdom
Ariana Grande,pop,Denmark
Jimin,pop,Latvia
Jimin,pop,Latvia
Jimin,pop,Latvia
Jimin,pop,Latvia
Poshlaya Molly,pop,Ukraine
Poshlaya Molly,pop,Ukraine
FRIENDLY THUG 52 NGG,hip hop,Ukraine
FRIENDLY THUG 52 NGG,hip hop,Ukraine
Jimin,pop,Czech Republic
Jimin,pop,Czech Republic
Big Baby Tape,hip hop,Belarus
кис-кис,pop,Ukraine
Big Baby Tape,hip hop,Belarus
Aarne,hip hop,Belarus
Toxi$,hip hop,Belarus
Jung Kook,pop,Lithuania
Jimin,pop,Bulgaria
Poshlaya Molly,pop,Ukraine
Big Baby Tape,hip hop,Belarus
Aarne,hip hop,Belarus
Jung Kook,pop,Belarus
Latto,trap,Lithuania
Latto,trap,Lithuania
Latto,trap,Lithuania
Poshlaya Molly,pop,Ukraine
Poshlaya Molly,pop,Ukraine
zhanulka,pop,Ukraine
zhanulka,pop,Ukraine
zhanulka,pop,Ukraine
zhanulka,pop,Ukraine
FACE,hip hop,Ukraine
FACE,hip hop,Ukraine
Monetochka,pop,Belarus
Monetochka,pop,Belarus
Monetochka,pop,Belarus
Poshlaya Molly,pop,Belarus
KRBK,hip hop,Ukraine
KRBK,hip hop,Ukraine
KRBK,hip hop,Ukraine
Aarne,hip hop,Belarus
BUSHIDO ZHO,drill,Belarus
LSP,hip hop,Belarus
Violetta Sokolova,pop,Ukraine
FRIENDLY THUG 52 NGG,hip hop,Belarus
Skryptonite,hip hop,Belarus
