artist,genre,pays
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
SZA,pop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Wallie the Sensei,rap,United States
Wallie the Sensei,rap,United States
Roddy Ricch,trap,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
"Tyler, The Creator",hip hop,Canada
GloRilla,hip hop,Canada
Sexyy Red,trap,Canada
Lil Wayne,hip hop,Canada
Kendrick Lamar,hip hop,United States
AzChike,rap,United States
Kendrick Lamar,hip hop,United States
Lady Gaga,pop,Mexico
Bruno Mars,pop,Mexico
Gigi Perez,pop,Canada
Kendrick Lamar,hip hop,United States
SZA,pop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
Kendrick Lamar,hip hop,United States
ROSÉ,pop,Mexico
Bruno Mars,pop,Mexico
Billie Eilish,pop,Canada
"Tyler, The Creator",hip hop,Canada
Lola Young,pop,United States
Jimin,pop,Canada
The Weeknd,pop,Canada
Playboi Carti,hip hop,Canada
Cynthia Erivo,pop,United States
Ariana Grande,pop,United States
Sabrina Carpenter,pop,Canada
Brenda Lee,rock,Canada
Mariah Carey,pop,Canada
Chappell Roan,pop,Canada
Billie Eilish,pop,Canada
"Tyler, The Creator",hip hop,Canada
"Tyler, The Creator",hip hop,Canada
"Tyler, The Creator",hip hop,Canada
"Tyler, The Creator",hip hop,Canada
Wham!,rock,Canada
Shaboozey,pop,Canada
GloRilla,hip hop,United States
Sexyy Red,trap,United States
Sabrina Carpenter,pop,Canada
Post Malone,pop,Canada
Post Malone,pop,Canada
Stromae,pop,United States
Pomme,pop,United States
Pomme,pop,United States
The Kid LAROI,hip hop,Canada
The Kid LAROI,hip hop,Canada
Sabrina Carpenter,pop,Canada
Sabrina Carpenter,pop,Canada
Sabrina Carpenter,pop,Canada
Benson Boone,pop,Canada
Kendrick Lamar,hip hop,United States
The Marías,pop,United States
Ariana Grande,pop,United States
Ariana Grande,pop,United States
Cynthia Erivo,pop,United States
Cynthia Erivo,pop,United States
Chappell Roan,pop,Canada
The Neighbourhood,rock,Canada
Noah Kahan,pop,Canada
Sabrina Carpenter,pop,Canada
Sabrina Carpenter,pop,Canada
ROSÉ,pop,Canada
Bruno Mars,pop,Canada
Lady Gaga,pop,Canada
Bruno Mars,pop,Canada
Shaboozey,pop,United States
Gigi Perez,pop,United States
Billie Eilish,pop,United States
Sabrina Carpenter,pop,United States
The Weeknd,pop,United States
Playboi Carti,hip hop,Canada
Benson Boone,pop,Canada
Post Malone,pop,United States
Post Malone,pop,United States
Chappell Roan,pop,Canada
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Noah Kahan,pop,United States
Sabrina Carpenter,pop,United States
"Tyler, The Creator",hip hop,United States
"Tyler, The Creator",hip hop,United States
Billie Eilish,pop,United States
Billie Eilish,pop,United States
Billie Eilish,pop,United States
Hozier,rock,Canada
Chappell Roan,pop,United States
Myles Smith,pop,Canada
Mariah Carey,pop,United States
Mariah Carey,pop,United States
Jimin,pop,United States
Travis Scott,rap,Canada
Playboi Carti,hip hop,United States
"Tyler, The Creator",hip hop,United States
GloRilla,hip hop,United States
Sexyy Red,trap,United States
Lil Wayne,hip hop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Sabrina Carpenter,pop,United States
Marshmello,pop,Canada
Marshmello,pop,Canada
Chappell Roan,pop,United States
"Tyler, The Creator",hip hop,United States
"Tyler, The Creator",hip hop,United States
"Tyler, The Creator",hip hop,United States
"Tyler, The Creator",hip hop,United States
ERNEST,pop,Canada
Wham!,rock,United States
The Neighbourhood,rock,United States
Kendrick Lamar,hip hop,United States
Taylor Swift,pop,Canada
Hozier,rock,Canada
Benson Boone,pop,United States
Don Toliver,rap,Canada
Brenda Lee,rock,United States
The Kid LAROI,hip hop,United States
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
Gunna,hip hop,Canada
KAROL G,urbano latino,Mexico
Ryan Castro,urbano latino,Mexico
Ryan Castro,urbano latino,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
SOG,reggaeton,Mexico
Bellakath,urbano latino,Mexico
El Malilla,reggaeton,Mexico
El Bogueto,reggaeton,Mexico
El Bogueto,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
La Dinastia,reggaeton,Mexico
Lady Gaga,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
Bruno Mars,pop,United States
ROSÉ,pop,United States
Bruno Mars,pop,United States
Omar Courtz,urbano latino,Mexico
De La Rose,urbano latino,Mexico
De La Rose,urbano latino,Mexico
De La Rose,urbano latino,Mexico
De La Rose,urbano latino,Mexico
Feid,urbano latino,Mexico
Feid,urbano latino,Mexico
KAROL G,urbano latino,Mexico
Feid,urbano latino,Mexico
Feid,urbano latino,Mexico
Ovy On The Drums,urbano latino,Mexico
J Balvin,urbano latino,Mexico
Maluma,urbano latino,Mexico
