artist,genre,pays
ROSÉ,pop,New Zealand
Bruno Mars,pop,New Zealand
Sabrina Carpenter,pop,New Zealand
Billie Eilish,pop,New Zealand
Lady Gaga,pop,New Zealand
Bruno Mars,pop,New Zealand
Shaboozey,pop,New Zealand
Benson Boone,pop,New Zealand
Gigi Perez,pop,New Zealand
Sabrina Carpenter,pop,New Zealand
Chappell Roan,pop,New Zealand
Coldplay,pop,New Zealand
Post Malone,pop,New Zealand
Post Malone,pop,New Zealand
The Weeknd,pop,New Zealand
Playboi Carti,hip hop,New Zealand
Playboi Carti,hip hop,New Zealand
Playboi Carti,hip hop,New Zealand
Playboi Carti,hip hop,New Zealand
Coldplay,pop,New Zealand
Sabrina Carpenter,pop,New Zealand
Hozier,rock,New Zealand
The Chainsmokers,pop,New Zealand
Coldplay,pop,New Zealand
Myles Smith,pop,New Zealand
Sabrina Carpenter,pop,New Zealand
Noah Kahan,pop,New Zealand
Hozier,rock,Australia
Hozier,rock,Australia
The Kid LAROI,hip hop,New Zealand
Billie Eilish,pop,New Zealand
Billie Eilish,pop,New Zealand
Billie Eilish,pop,New Zealand
Benson Boone,pop,New Zealand
The Goo Goo Dolls,rock,New Zealand
Chappell Roan,pop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
Travis Scott,rap,New Zealand
Playboi Carti,hip hop,New Zealand
The Killers,rock,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Coldplay,pop,Australia
Fleetwood Mac,rock,New Zealand
Vance Joy,rock,New Zealand
Charli xcx,pop,Australia
Billie Eilish,pop,Australia
Taylor Swift,pop,Australia
Coldplay,pop,Australia
Addison Rae,pop,Australia
Addison Rae,pop,Australia
Tommy Richman,hip hop,New Zealand
Tommy Richman,hip hop,New Zealand
Tommy Richman,hip hop,New Zealand
Coldplay,pop,Australia
Lady Gaga,pop,Australia
Bruno Mars,pop,New Zealand
ROSÉ,pop,Australia
Bruno Mars,pop,Australia
Bruno Mars,pop,Australia
Billie Eilish,pop,Australia
Gigi Perez,pop,Australia
Sabrina Carpenter,pop,Australia
Sabrina Carpenter,pop,Australia
Shaboozey,pop,Australia
Benson Boone,pop,Australia
Benson Boone,pop,Australia
Chappell Roan,pop,New Zealand
Hozier,rock,Australia
Fleetwood Mac,rock,Australia
The Weeknd,pop,Australia
Playboi Carti,hip hop,Australia
Post Malone,pop,Australia
Post Malone,pop,Australia
Coldplay,pop,Australia
Billie Eilish,pop,Australia
Sabrina Carpenter,pop,Australia
Sabrina Carpenter,pop,Australia
Sabrina Carpenter,pop,Australia
Sabrina Carpenter,pop,Australia
"Tyler, The Creator",hip hop,New Zealand
"Tyler, The Creator",hip hop,New Zealand
Myles Smith,pop,Australia
Tommy Richman,hip hop,Australia
Chappell Roan,pop,Australia
Chappell Roan,pop,Australia
Chappell Roan,pop,Australia
Travis Scott,rap,Australia
Playboi Carti,hip hop,Australia
Bruno Mars,pop,Australia
The Goo Goo Dolls,rock,Australia
The Goo Goo Dolls,rock,Australia
Noah Kahan,pop,Australia
Benson Boone,pop,Australia
Creedence Clearwater Revival,rock,New Zealand
Creedence Clearwater Revival,rock,New Zealand
Stormzy,hip hop,New Zealand
Journey,rock,New Zealand
Coldplay,pop,Australia
Red Hot Chili Peppers,funk,New Zealand
Red Hot Chili Peppers,funk,New Zealand
Red Hot Chili Peppers,funk,New Zealand
The Chainsmokers,pop,Australia
Coldplay,pop,Australia
Crowded House,rock,New Zealand
Vance Joy,rock,Australia
Chappell Roan,pop,Australia
The Doobie Brothers,rock,New Zealand
Ndotz,drill,New Zealand
"Tyler, The Creator",hip hop,Australia
"Tyler, The Creator",hip hop,Australia
"Tyler, The Creator",hip hop,Australia
"Tyler, The Creator",hip hop,Australia
The Kid LAROI,hip hop,Australia
The Kid LAROI,hip hop,Australia
