artist,genre,pays
Myke Towers,urbano latino,Venezuela
Tiago PZK,urbano latino,Uruguay
Anitta,funk,Uruguay
Emilia,pop,Uruguay
Big One,trap,Uruguay
Emanero,hip hop,Uruguay
Emanero,hip hop,Uruguay
KAROL G,urbano latino,Venezuela
Emilia,pop,Uruguay
La T y La M,pop,Argentina
Malandro,rap,Argentina
Omar Courtz,urbano latino,Venezuela
De La Rose,urbano latino,Venezuela
Maria Becerra,urbano latino,Uruguay
Maria Becerra,urbano latino,Uruguay
Emilia,pop,Uruguay
Tiago PZK,urbano latino,Uruguay
Ke Personajes,pop,Uruguay
Ke Personajes,pop,Uruguay
The La Planta,pop,Uruguay
Myke Towers,urbano latino,Uruguay
benny blanco,pop,Venezuela
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Luck Ra,trap,Uruguay
Abel Pintos,pop,Uruguay
Big One,trap,Uruguay
Tiago PZK,urbano latino,Uruguay
La Joaqui,hip hop,Uruguay
Duki,urbano latino,Uruguay
Milo j,urbano latino,Uruguay
Luck Ra,trap,Uruguay
Nicki Nicole,urbano latino,Uruguay
Paulo Londra,urbano latino,Uruguay
Luck Ra,trap,Uruguay
Luck Ra,trap,Uruguay
Myke Towers,urbano latino,Uruguay
ECKO,hip hop,Uruguay
Los Turros,pop,Uruguay
Los Turros,pop,Uruguay
Los Turros,pop,Uruguay
Hernan y La Champion's Liga,pop,Uruguay
Hernan y La Champion's Liga,pop,Uruguay
Hernan y La Champion's Liga,pop,Uruguay
Hernan y La Champion's Liga,pop,Uruguay
Hernan y La Champion's Liga,pop,Uruguay
Emanero,hip hop,Uruguay
Karina,pop,Uruguay
j mena,pop,Uruguay
Angela Torres,pop,Uruguay
Feid,urbano latino,Venezuela
Feid,urbano latino,Venezuela
Salastkbron,pop,Uruguay
Salastkbron,pop,Uruguay
Salastkbron,pop,Uruguay
Luck Ra,trap,Uruguay
Big One,trap,Uruguay
Maria Becerra,urbano latino,Uruguay
Trueno,urbano latino,Uruguay
Nicki Nicole,urbano latino,Uruguay
Luck Ra,trap,Uruguay
Chayanne,pop,Uruguay
Duki,urbano latino,Uruguay
Duki,urbano latino,Uruguay
Duki,urbano latino,Uruguay
Duki,urbano latino,Uruguay
Bizarrap,urbano latino,Uruguay
Luck Ra,trap,Uruguay
KHEA,urbano latino,Uruguay
Duki,urbano latino,Uruguay
Duki,urbano latino,Uruguay
Duki,urbano latino,Peru
Shakira,pop,Venezuela
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
FloyyMenor,reggaeton,Uruguay
YSY A,hip hop,Uruguay
Bhavi,hip hop,Uruguay
Milo j,urbano latino,Uruguay
Milo j,urbano latino,Uruguay
Milo j,urbano latino,Uruguay
Milo j,urbano latino,Uruguay
Duki,urbano latino,Paraguay
Luck Ra,trap,Argentina
Luck Ra,trap,Argentina
Emilia,pop,Paraguay
Duki,urbano latino,Ecuador
Duki,urbano latino,Chile
Headie One,hip hop,Argentina
Cris Mj,urbano latino,Uruguay
FloyyMenor,reggaeton,Uruguay
FloyyMenor,reggaeton,Uruguay
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Emilia,pop,Chile
TINI,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
Pinky SD,pop,Argentina
