id,label,type,main_country
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Artist,United States
1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,Artist,United States
7tYKF4w9nC0nq9CsPZTHyP,SZA,Artist,Malaysia
4VHa48wXlsDA2vWfgIi7cX,Dody6,Artist,United States
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,Artist,United States
7J5UWTbsUFjoSQZQCQCqbQ,Siete7x,Artist,United States
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,Artist,United States
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,Artist,Ireland
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",Artist,Canada
2qoQgPAilErOKCwE2Y8wOG,GloRilla,Artist,United States
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,Artist,United States
55Aa2cqylxrFIXC767Z865,Lil Wayne,Artist,Canada
6fqjJNsLs7g6F3PXy01Xnw,AzChike,Artist,United States
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Artist,Andorra
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Artist,Malaysia
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,Artist,Andorra
50DchbKTiJU56SYmIRSJCI,Hitta J3,Artist,United States
1q2nUylEqrRJkiDkXa39Mw,YoungThreat,Artist,United States
27OdVby2oeFjM1C5XvC3hC,Peysoh,Artist,United States
3eVa5w3URK5duf6eyVDbu9,ROSÉ,Artist,Australia
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Artist,Estonia
67FB4n52MgexGQIG8s0yUH,Lola Young,Artist,United States
1oSPZhvZMIrWW5I41kPkkY,Jimin,Artist,Belarus
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Artist,Austria
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,Artist,Australia
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,Artist,United States
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Artist,United States
