"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"0","Q U E V A S H A C E R H O Y ?","[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]","0.560","0.681","6","-6.304","0","0.2440","0.1030","0.000000","0.1060","0.388","155.079","audio_features","0Sr7ssScx54yxdM2ols7nW","spotify:track:0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW","https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW","223320","4","Dominica"
"1","Bing Bong","[4ncaw2cfA3Wlly1tBD2eWt, 5O5qjKWtduHgXxeEYbbSxz]","0.920","0.797","10","-4.622","0","0.1090","0.0087","0.000407","0.2120","0.775","134.035","audio_features","6s9PpYbExKlHuJ8JMyep21","spotify:track:6s9PpYbExKlHuJ8JMyep21","https://api.spotify.com/v1/tracks/6s9PpYbExKlHuJ8JMyep21","https://api.spotify.com/v1/audio-analysis/6s9PpYbExKlHuJ8JMyep21","123591","4","Dominica"
"2","Party Prendio","[11oaKJc8rsz6x8YPVjca4X]","0.712","0.737","9","-5.833","0","0.2900","0.2560","0.000000","0.1820","0.501","168.137","audio_features","7kysxhCfP7fFebn7iZU8Av","spotify:track:7kysxhCfP7fFebn7iZU8Av","https://api.spotify.com/v1/tracks/7kysxhCfP7fFebn7iZU8Av","https://api.spotify.com/v1/audio-analysis/7kysxhCfP7fFebn7iZU8Av","102592","4","Dominica"
"3","Cupido","[11oaKJc8rsz6x8YPVjca4X, 0kwa5ELbi8xm7vbwywoLtg, 0c0Yh1P4gMYmDwebhyzIDv]","0.914","0.601","11","-5.255","1","0.1630","0.0888","0.000005","0.2640","0.648","96.041","audio_features","2FFr0vdtqPBTK3RW0c7T5C","spotify:track:2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/tracks/2FFr0vdtqPBTK3RW0c7T5C","https://api.spotify.com/v1/audio-analysis/2FFr0vdtqPBTK3RW0c7T5C","215000","4","Dominica"
"4","OMG - Remix","[4WzBqbc7fxl2y8XrznMSqf, 0TnOYISbd1XYRBk9myaseg, 3OcvS8PzSGYMBvLdzY6g3e, 6NVVcu2j3GlTJwVUnNh27B]","0.796","0.864","1","-4.884","0","0.0625","0.0346","0.000000","0.1450","0.590","98.947","audio_features","0aKJSsrPc0uwklhceSHIxt","spotify:track:0aKJSsrPc0uwklhceSHIxt","https://api.spotify.com/v1/tracks/0aKJSsrPc0uwklhceSHIxt","https://api.spotify.com/v1/audio-analysis/0aKJSsrPc0uwklhceSHIxt","131144","4","Dominica"
"5","Vamono Lejos","[11oaKJc8rsz6x8YPVjca4X, 03A4rAqMAxVwjkRIPZxZ9Y]","0.425","0.679","7","-5.276","1","0.2050","0.2360","0.000000","0.1770","0.503","85.190","audio_features","4xdl8WUxPsgG0gZdIP4yS8","spotify:track:4xdl8WUxPsgG0gZdIP4yS8","https://api.spotify.com/v1/tracks/4xdl8WUxPsgG0gZdIP4yS8","https://api.spotify.com/v1/audio-analysis/4xdl8WUxPsgG0gZdIP4yS8","187694","4","Dominica"
"6","Pegate","[11oaKJc8rsz6x8YPVjca4X]","0.909","0.683","5","-4.792","0","0.1280","0.0182","0.000018","0.1180","0.808","88.637","audio_features","3wmfO0mDUmLCxMuUoR5Ldu","spotify:track:3wmfO0mDUmLCxMuUoR5Ldu","https://api.spotify.com/v1/tracks/3wmfO0mDUmLCxMuUoR5Ldu","https://api.spotify.com/v1/audio-analysis/3wmfO0mDUmLCxMuUoR5Ldu","165168","4","Dominica"
"7","Si Estoy Contigo - Bachata","[11oaKJc8rsz6x8YPVjca4X]","0.727","0.805","8","-5.301","1","0.0819","0.1520","0.000000","0.2000","0.873","144.914","audio_features","2MwztolEt0vNsp8tbnNbRs","spotify:track:2MwztolEt0vNsp8tbnNbRs","https://api.spotify.com/v1/tracks/2MwztolEt0vNsp8tbnNbRs","https://api.spotify.com/v1/audio-analysis/2MwztolEt0vNsp8tbnNbRs","216828","4","Dominica"
"8","Culiacan","[11oaKJc8rsz6x8YPVjca4X, 0kwa5ELbi8xm7vbwywoLtg, 0c0Yh1P4gMYmDwebhyzIDv]","0.701","0.567","9","-8.747","0","0.0426","0.4770","0.000000","0.0919","0.970","144.988","audio_features","4B5G10aokuWdgVkgD5m6d7","spotify:track:4B5G10aokuWdgVkgD5m6d7","https://api.spotify.com/v1/tracks/4B5G10aokuWdgVkgD5m6d7","https://api.spotify.com/v1/audio-analysis/4B5G10aokuWdgVkgD5m6d7","171861","3","Dominica"
"9","Kikito","[11oaKJc8rsz6x8YPVjca4X, 4VVEpEhC8NcR7AqNEds42U, 7w0t8O8nbirfLvGJgKK0xk]","0.905","0.866","2","-4.889","1","0.0767","0.0688","0.004730","0.2820","0.793","118.068","audio_features","5N7WygWmT8oIz5PqtLYFYz","spotify:track:5N7WygWmT8oIz5PqtLYFYz","https://api.spotify.com/v1/tracks/5N7WygWmT8oIz5PqtLYFYz","https://api.spotify.com/v1/audio-analysis/5N7WygWmT8oIz5PqtLYFYz","170085","4","Dominica"
