"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country","",""
"0","That’s So True","[4tuJ0bMpJh08umKkEXKUI5]","0.554","0.808","1","-4.169","1","0.0368","0.21400","0.000000","0.1590","0.372","108.548","audio_features","7ne4VBA60CxGM75vw0EYad","spotify:track:7ne4VBA60CxGM75vw0EYad","https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad","https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad","166300","4","Canada","",""
"1","APT.","[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]","0.777","0.783","0","-4.477","0","0.2600","0.02830","0.000000","0.3550","0.939","149.027","audio_features","5vNRhkKd0yEAg8suGBpjeY","spotify:track:5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY","https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY","169917","4","Canada","",""
"2","Die With A Smile","[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]","0.521","0.592","6","-7.777","0","0.0304","0.30800","0.000000","0.1220","0.535","157.969","audio_features","2plbrEY59IikOBgBGLjaoe","spotify:track:2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe","https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe","251668","3","Canada","",""
"3","A Bar Song (Tipsy)","[3y2cIKLjiOlp1Np37WiUdH]","0.722","0.706","9","-4.857","1","0.0292","0.07200","0.000000","0.0670","0.599","80.969","audio_features","5fZJQrFKWQLb7FpJXZ1g7K","spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K","https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K","171292","4","Canada","",""
"4","Sailor Song","[1iCnM8foFssWlPRLfAbIwo]","0.494","0.413","11","-10.432","1","0.0254","0.68200","0.000067","0.1930","0.273","94.938","audio_features","2262bWmqomIaJXwCRHr13j","spotify:track:2262bWmqomIaJXwCRHr13j","https://api.spotify.com/v1/tracks/2262bWmqomIaJXwCRHr13j","https://api.spotify.com/v1/audio-analysis/2262bWmqomIaJXwCRHr13j","211979","4","Canada","",""
"5","BIRDS OF A FEATHER","[6qqNVTkY8uBg9cP3Jd7DAH]","0.747","0.507","2","-10.171","1","0.0358","0.20000","0.060800","0.1170","0.438","104.978","audio_features","6dOtVTDdiauQNBQEDOtlAB","spotify:track:6dOtVTDdiauQNBQEDOtlAB","https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB","https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB","210373","4","Canada","",""
"6","Taste","[74KM79TiuVKeVCqs8QtB0B]","0.674","0.907","3","-4.086","1","0.0640","0.10100","0.000000","0.2970","0.721","112.964","audio_features","5G2f63n7IPVPPjfNIGih7Q","spotify:track:5G2f63n7IPVPPjfNIGih7Q","https://api.spotify.com/v1/tracks/5G2f63n7IPVPPjfNIGih7Q","https://api.spotify.com/v1/audio-analysis/5G2f63n7IPVPPjfNIGih7Q","157280","4","Canada","",""
"7","Timeless (with Playboi Carti)","[1Xyo4u8uXC1ZmMpatF05PJ, 699OTQXzgjhIYAHMy9RyPD]","0.769","0.722","11","-5.485","0","0.0507","0.05840","0.000003","0.1110","0.570","119.973","audio_features","1Es7AUAhQvapIcoh3qMKDL","spotify:track:1Es7AUAhQvapIcoh3qMKDL","https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL","https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL","256000","4","Canada","",""
"8","Beautiful Things","[22wbnEMDvgVIAGdFeek6ET]","0.472","0.471","10","-5.692","1","0.0603","0.15100","0.000000","0.1400","0.219","105.029","audio_features","3xkHsmpQCBMytMJNiDf3Ii","spotify:track:3xkHsmpQCBMytMJNiDf3Ii","https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii","https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii","180304","3","Canada","",""
"9","I Had Some Help (Feat. Morgan Wallen)","[246dkjvS1zLTtiykXe5h60, 4oUHIQIBe0LHzYfvXNW4QM]","0.644","0.874","0","-4.723","1","0.0265","0.01130","0.000000","0.2270","0.753","128.017","audio_features","5IZXB5IKAD2qlvTPJYDCFB","spotify:track:5IZXB5IKAD2qlvTPJYDCFB","https://api.spotify.com/v1/tracks/5IZXB5IKAD2qlvTPJYDCFB","https://api.spotify.com/v1/audio-analysis/5IZXB5IKAD2qlvTPJYDCFB","178206","4","Canada","",""
"10","Good Luck, Babe!","[7GlBOeep6PqTfFi59PTUUN]","0.700","0.582","11","-5.960","0","0.0356","0.05020","0.000000","0.0881","0.785","116.712","audio_features","0WbMK4wrZ1wFSty9F7FCgu","spotify:track:0WbMK4wrZ1wFSty9F7FCgu","https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu","https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu","218424","4","Canada","",""
"11","Espresso","[74KM79TiuVKeVCqs8QtB0B]","0.699","0.776","0","-5.282","1","0.0293","0.13100","0.000005","0.2050","0.708","103.963","audio_features","2HRqTpkrJO5ggZyyK6NPWz","spotify:track:2HRqTpkrJO5ggZyyK6NPWz","https://api.spotify.com/v1/tracks/2HRqTpkrJO5ggZyyK6NPWz","https://api.spotify.com/v1/audio-analysis/2HRqTpkrJO5ggZyyK6NPWz","175459","4","Canada","",""
"12","Love Somebody","[4oUHIQIBe0LHzYfvXNW4QM]","0.619","0.843","5","-5.348","0","0.0284","0.00948","0.000118","0.1640","0.746","122.064","audio_features","7hR22TOX3RorxJPcsz5Wbo","spotify:track:7hR22TOX3RorxJPcsz5Wbo","https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo","https://api.spotify.com/v1/audio-analysis/7hR22TOX3RorxJPcsz5Wbo","204829","4","Canada","",""
"13","Lose Control","[33qOK5uJ8AR2xuQQAhHump]","0.561","0.604","9","-4.409","1","0.0337","0.19900","0.000019","0.1040","0.242","159.920","audio_features","17phhZDn6oGtzMe56NuWvj","spotify:track:17phhZDn6oGtzMe56NuWvj","https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj","https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj","210689","3","Canada","",""
"14","I Love You, I'm Sorry","[4tuJ0bMpJh08umKkEXKUI5]","0.530","0.406","10","-7.507","1","0.0330","0.65600","0.000000","0.1330","0.338","115.940","audio_features","51rfRCiUSvxXlCSCfIztBy","spotify:track:51rfRCiUSvxXlCSCfIztBy","https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy","https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy","157147","3","Canada","",""
"15","Austin (Boots Stop Workin')","[7Ez6lTtSMjMf2YSYpukP1I]","0.756","0.672","0","-6.743","1","0.0522","0.46400","0.000003","0.1080","0.739","114.935","audio_features","2uqYupMHANxnwgeiXTZXzd","spotify:track:2uqYupMHANxnwgeiXTZXzd","https://api.spotify.com/v1/tracks/2uqYupMHANxnwgeiXTZXzd","https://api.spotify.com/v1/audio-analysis/2uqYupMHANxnwgeiXTZXzd","171783","4","Canada","",""
"16","I Remember Everything (feat. Kacey Musgraves)","[40ZNYROS4zLfyyBSs2PGe2, 70kkdajctXSbqSMJbQO424]","0.429","0.453","0","-7.746","1","0.0459","0.55400","0.000002","0.1020","0.155","77.639","audio_features","4KULAymBBJcPRpk1yO4dOG","spotify:track:4KULAymBBJcPRpk1yO4dOG","https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG","https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG","227196","4","Canada","",""
"17","Stick Season","[2RQXRUsr4IW1f3mKyKsy4B]","0.664","0.500","9","-6.935","1","0.0651","0.79900","0.000000","0.0966","0.801","117.896","audio_features","0mflMxspEfB0VbI1kyLiAv","spotify:track:0mflMxspEfB0VbI1kyLiAv","https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv","https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv","182347","4","Canada","",""
"18","Please Please Please","[74KM79TiuVKeVCqs8QtB0B]","0.675","0.586","9","-6.086","1","0.0531","0.25700","0.000000","0.1040","0.621","107.015","audio_features","2tHwzyyOLoWSFqYNjeVMzj","spotify:track:2tHwzyyOLoWSFqYNjeVMzj","https://api.spotify.com/v1/tracks/2tHwzyyOLoWSFqYNjeVMzj","https://api.spotify.com/v1/audio-analysis/2tHwzyyOLoWSFqYNjeVMzj","186365","4","Canada","",""
"19","St. Chroma (feat. Daniel Caesar)","[4V8LLVI7PbaPR0K2TGSxFF, 20wkVLutqVOYrc0kxFs7rA]","0.576","0.884","0","-5.058","1","0.5550","0.35700","0.000000","0.3680","0.373","150.450","audio_features","1QoyuMHNBe7lg3YW4Qtll4","spotify:track:1QoyuMHNBe7lg3YW4Qtll4","https://api.spotify.com/v1/tracks/1QoyuMHNBe7lg3YW4Qtll4","https://api.spotify.com/v1/audio-analysis/1QoyuMHNBe7lg3YW4Qtll4","197020","4","Canada","",""
"20","WILDFLOWER","[6qqNVTkY8uBg9cP3Jd7DAH]","0.467","0.247","6","-12.002","0","0.0431","0.61200","0.000271","0.1700","0.126","148.101","audio_features","3QaPy1KgI7nu9FJEQUgn6h","spotify:track:3QaPy1KgI7nu9FJEQUgn6h","https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h","https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h","261467","4","Canada","",""
"21","Pink Skies","[40ZNYROS4zLfyyBSs2PGe2]","0.525","0.488","0","-6.909","1","0.0380","0.19100","0.000051","0.1350","0.253","84.999","audio_features","4ZJ4vzLQekI0WntDbanNC7","spotify:track:4ZJ4vzLQekI0WntDbanNC7","https://api.spotify.com/v1/tracks/4ZJ4vzLQekI0WntDbanNC7","https://api.spotify.com/v1/audio-analysis/4ZJ4vzLQekI0WntDbanNC7","194920","4","Canada","",""
