artists,followers,genres,name,popularity
78F6Xkd46aMHkr4AP60TXY,141691,trap latino,Clarent,71
3E12tRURRvPfHz0hAMCFYc,431536,"trap boricua, trap latino, urbano latino",Omar Courtz,81
54seKvtsZauR1iauN0ptpo,299486,"trap latino, urbano latino",De La Rose,79
30Ml7nTMkXYyb0UoLwtmCc,48758,,Los Diozes,63
7iK8PXO48WeuP03g8YR51W,17347444,"reggaeton, trap latino, urbano latino",Myke Towers,90
5CiGnKThu5ctn9pBxv7DGa,1244249,pop,benny blanco,78
0CVOcYvRcSvOXyuR4YGKaC,261122,spanish pop,Dani Fernández,69
2tmrdVbpFzIVIOcqxvErj2,8027,,Los Sufridos,62
4F4pp8NUW08JuXwnoxglpN,1854580,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",Bad Gyal,75
0EmeFodog0BfCgMzAIvKQp,35526709,"colombian pop, dance pop, latin pop, pop",Shakira,88
1HY2Jd0NmPuamShAr6KMms,32936218,"art pop, dance pop, pop",Lady Gaga,92
0du5cEVh5yTK9QJze8zA0C,62697388,"dance pop, pop",Bruno Mars,96
37S0GFsBW73uqxGXNFeADJ,40345,cloud rap francais,Ghost Killer Track,61
0VZrPa7mWAYXH4CwmYk8Km,2936923,"drill espanol, trap latino, trap triste, urbano espanol, urbano latino",Kidd Keo,72
0FwnPHExlRRxEZPLAi5tmG,1003241,urbano espanol,JC Reyes,76
4RWJOoYwgF978LOn8Fainp,322634,cantautora argentina,Yami Safdie,71
3SCOuAxngTC1yGjKMcIPEd,876294,pop venezolano,Lasso,72
0tmwSHipWxN12fsoLcFU3B,14280212,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Manuel Turizo,84
3UTF2no3muGdiFXVujl94i,316580,,Kapo,81
5qPeAT4ikl6gJNUexAOEy0,181540,"indie catala, musica catalana, reggae catala, rock catala",Oques Grasses,61
6TKygPpVT29oGUogu4J9Ec,231317,"trap boricua, trap latino, urbano latino",Yan Block,77
34PYzJSu4DHKEyhdBfsn0E,9923,,TORRRES,62
22dFwJoRBV51ue5TGnC7Dt,1514689,"drill espanol, urbano espanol",Beny Jr,77
1iCnM8foFssWlPRLfAbIwo,545689,bedroom pop,Gigi Perez,81
2NeFajzkAQ4UfviWdzf0pK,142195,pop flamenco,Marta Santos,66
6XyY86QOPPrYVGvF9ch6wz,27727652,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93
1XSmez9xyCCPpOZp0uImwM,160909,jazz catala,Rita Payés,56
6B1hSmaLdOvChinK2Z7gfi,59599,,Maisak,72
2LRoIwlKmHjgvigdNGBHNo,14862494,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",Feid,92
33qOK5uJ8AR2xuQQAhHump,3446695,,Teddy Swims,87
6k8mwkKJKKjBILo7ypBspl,968314,spanish pop,Ana Mena,70
0AqlFI0tz2DsEoJlKSIiT9,3825070,pop argentino,Emilia,81
790FomKkXshlbRYZFtlgla,52293179,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91
0ZHPrnImGh4re3TbSNkoZl,3085510,"spanish hip hop, spanish pop",Beret,71
4az97MtWmBQ5Db3GfDh9j9,3660386,"drill espanol, urbano espanol",Morad,80
2CCgb0KApjfQDuTppovpf8,773192,"drill espanol, flamenco urbano, urbano espanol, urbano latino",Rvfv,75
5C4PDR4LnhZTbVnKWXuDKD,12312888,"colombian pop, latin viral pop",Morat,83
5PlfkPxwCpRRWQJBxCa0By,368589,deep house,HUGEL,78
0u6GtibW46tFX7koQ6uNJZ,269315,"german dance, pop dance, pop edm, uk dance",Topic,76
7hQmAXAzWI6D350VTgkKTG,260536,persian pop,Arash,72
1IFAU4mznUcfPVP9z2c24N,13697,,Daecolm,71
2enhM5DK9oTxWiCVpFIDv3,58660,musica catalana,Figa Flawas,61
1Yj5Xey7kTwvZla8sqdsdE,4363023,"mambo chileno, trap latino, urbano chileno, urbano latino",Cris Mj,87
1U1el3k54VvEUzo3ybLPlM,8125195,colombian pop,Kali Uchis,86
6nVcHLIgY5pE2YCl8ubca1,8230842,"reggaeton, trap latino, urbano latino",JHAYCO,84
0WwSkZ7LtFUFjGjMZBMt6T,7957227,"album rock, classic rock, mellow gold, rock",Dire Straits,78
4BnXLYKwUhFGUmYE5mPNox,4735,,Las 2K,56
6mQDo8xYI31LFjmhIsZEWg,2583,,Chardo Chardemio,56
3QqpGThGBmUjiYeF8biKlM,2502,reparto,Melody Records International,56
4AK6F7OLvEQ5QYCBNiQWHq,37643150,"boy band, pop, post-teen pop, talent show",One Direction,90
artists,followers,genres,name,popularity
1x8mAhfvCw7JXRX7Ild0lF,20043,,Hey Kid,57
6i0h6wBrfNkdf3eTUoelpP,35122,,Malmö 040,58
7f5Zgnp2spUuuzKplmRkt7,2938915,"belgian edm, edm, pop dance, tropical house",Lost Frequencies,81
2txHhyCwHjUEpJjWrEyqyX,4041042,chill pop,Tom Odell,80
5Y3MV9DZ0d87NnVm56qSY1,5454795,"trap argentino, trap latino, urbano latino",Tiago PZK,81
7FNnA9vBm6EKceENgCGRMb,12792363,"funk pop, funk rj, pagode baiano, pop, pop nacional",Anitta,84
1JbemQ1fPt2YmSLjAFhPBv,8385625,"latin pop, puerto rican pop",Chayanne,77
60ZOYUFnCYEeKYsxgvPxOS,498495,"flamenco urbano, rap espanol",Cano,70
3rIZMv9rysU7JkLzEaC5Jp,3101074,"irish rock, modern rock, neo mellow, permanent wave, pop rock",Snow Patrol,71
1bAftSH8umNcGZ0uyV7LMg,11546073,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,87
4gzpq5DPGxSnKTe4SA8HAU,54871112,"permanent wave, pop",Coldplay,91
6eXZu6O7nAUA5z6vLV8NKI,1091672,"alternative r&b, escape room, trap queen",Little Simz,71
3wcj11K77LjEY1PkEazffa,10719626,"afrobeats, dancehall, nigerian hip hop, nigerian pop",Burna Boy,80
0jIWKlfmD4Ew7HeVVrq03g,230870,palestinian pop,Elyanna,71
7vXDAI8JwjW531ouMGbfcp,8523312,"latin pop, latin viral pop, pop argentino",TINI,79
2V9MnjEMqwXm7sice07NQK,81540,,Diegote,58
4kcQWQDK0u9AftVSpdrAgk,1882594,"trap argentino, trap triste",Luck Ra,77
5TP8Ubo4jLKEi4Mw2O8fAk,1000270,previa,BM,70
2OhUNb01gLwygOizYvTm0e,675267,trap argentino,Big One,75
2BTS8Np1YzPQuXjgdlqsBB,507100,"argentine hip hop, rap conciencia, rap underground argentino",Emanero,71
55ru5B05MMBunM1tvH7Di6,258232,,Valentino Merlo,74
1FxPMQ9A0882eNDx3ZkD6B,817494,cumbia pop,La T y La M,71
6Gsh7oJoJ5EQUuQk0EhfWL,61548,rap underground argentino,Malandro,62
1DxLCyH42yaHKGK3cl5bvG,7234698,"pop argentino, urbano latino",Maria Becerra,82
0ZCO8oVkMj897cKgFH7fRW,7870076,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical",Los Ángeles Azules,79
06Q5VlSAku57lFzyME3HrM,4039743,cumbia pop,Ke Personajes,78
4oZolC0sCwCAKqsNXfRlVS,467132,cumbia pop,The La Planta,73
7yIp2QRLkQ6loIrupimiri,39308,cumbia pop,Pinky SD,78
2Mt2vBBEckrvXtg0JldwZ0,171914,,Un Poco de Ruido,78
5Qv1EsPany9Fc3yyCJnoxw,193339,cumbia santafesina,Uriel Lozano,71
6HTUcOExehqydqa7C3usAa,3501375,"argentine telepop, folklore argentino, pop argentino",Abel Pintos,70
60XHOAhvEBiV6BGBOv8ClM,1980324,"argentine hip hop, rap latina",La Joaqui,73
19HM5j0ULGSmEoRcrSe5x3,5261281,"trap argentino, trap latino, urbano latino",Milo j,83
2UZIAOlrnyZmyzt1nuXr9y,7839895,"argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino",Nicki Nicole,80
3vQ0GE3mI0dAaxIMYe5g7z,24287103,"argentine hip hop, trap argentino, trap latino, urbano latino",Paulo Londra,79
2Jb9jVnCpWkXtoGznFJ6bF,1329962,"argentine hip hop, trap argentino",ECKO,66
6QVEWdYtBkaJcboEtH5FeB,172505,"cumbia paraguaya, cumbia pop, cumbia villera",Los Turros,59
2eXWodjj5K1vVq2CSjl036,215032,,DobleP,68
1NtRGHzfJ8H7dENIXu1tdk,87,,Cristian Di Marco,63
04XdCDDrPnnqidaVBTOQjt,133427,"cuarteto, cumbia pop, cumbia villera",Hernan y La Champion's Liga,60
6GRwwWAtmusrgAL5JF9Dfr,1783904,rkt,Callejero Fino,67
7dlkBH23ERFXxuNoMHq94Y,1293990,cuarteto,Q' Lokura,75
1QZuAtDYNrk2QMogJulsyq,647706,"argentine telepop, cumbia pop",Karina,66
6iYRN5eaz8LSxvwkhmwkRj,497589,"cumbia pop, pop argentino",j mena,60
6LZA6PhNCwUfHzqfpN1nYL,202743,"argentine telepop, latin viral pop",Angela Torres,61
7jAs1uPnpfNmT6e5qtEPxq,66031,,ATL Jacob,74
3WMlRpW5JWuDI95TcEWt3r,596732,pop argentino,Salastkbron,68
5xIOUIBQhGFX7HIj8lhdyU,87506,gaming dubstep,Omar Varela,71
2x7PC78TmgqpEIjaGAZ0Oz,8051824,"argentine hip hop, bases de freestyle, trap argentino, trap latino, urbano latino",Trueno,79
1H6X7yhnXZg73f9bssaj1Q,127187,urbano espanol,Judeline,70
artists,followers,genres,name,popularity
716NhGYqD1jl2wI1Qkgq36,16977428,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",Bizarrap,82
4m6ubhNsdwF4psNf3R8kwR,5818260,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",KHEA,78
7rFHoDuiSlV0DGHxckjm89,177674,,Lia Kali,68
7CvTknweLr9feJtRGrpDBy,1156138,reggaeton chileno,FloyyMenor,84
2qWK8K2Jfh67UqtwY8tCW6,3381057,"argentine hip hop, trap argentino",YSY A,77
7fT2Me47PQ8T7954PKrcwR,1520893,"argentine hip hop, trap argentino, trap triste",Bhavi,70
5Zk54wioCsUtq5ggUWXqlK,48170,"previa, rkt",Tuti DJ,54
0sE8WmITfzXJwYGdtbo8B0,56887,rkt,Pereiraremix,57
6UCQYrcJ6wab6gnQ89OJFh,616866,uk hip hop,Headie One,68
6uzHLlGqFKaXYOnZyYmXYg,26325,,LOUKI,72
