artists,followers,genres,name,popularity,country
4IMgqWorWJUqUlbULGdoBa,96719,egyptian viral pop,Youssif Elashry,57,Egypt
7yBuSjd5Z3w7acodk51evR,2345920,"egyptian hip hop, egyptian trap",Afroto,60,Egypt
33Dgas4QUk9jjh2TnolVwj,9257,,ONUY,51,Egypt
5CSaIf8OAstAYE5oqQeS15,557579,egyptian viral pop,Magdy El Zahar,58,Egypt
6mPZyiInAlfLGBJbX0echu,44499,,زاد,47,Egypt
3mUUUQDWnVlttF1yERxmPQ,1030496,egyptian trap,Ilmond,60,Egypt
4IMgqWorWJUqUlbULGdoBa,96719,egyptian viral pop,Youssif Elashry,57,Egypt
5764EiAfWT26wi1CdLcnwz,727587,"egyptian hip hop, egyptian trap",Shehab,59,Egypt
5QKGejJMncXUNUb9pUFbEf,618427,egyptian trap,TUL8TE,63,Egypt
2KJgliIl1dMyeOMyCcnYv7,2863592,"arab pop, egyptian pop",Bahaa Sultan,62,Egypt
5QKGejJMncXUNUb9pUFbEf,618427,egyptian trap,TUL8TE,63,Egypt
5rCq30EbJ3DfZPKybGZj8F,4706060,"arab pop, egyptian pop",Tamer Ashour,64,Egypt
2PM82jOCB674w4BL08zFVS,3424245,"egyptian alternative, egyptian viral pop",Muslim - مُسلِم,62,Egypt
4KGzrDuN7l1lrMNuio2fUe,4283,,yousef mohamed,35,Egypt
5QKGejJMncXUNUb9pUFbEf,618427,egyptian trap,TUL8TE,63,Egypt
3gCqbhXmiSto3R8U9YZcZM,1532783,shaabi,Reda El Bahrawy,56,Egypt
5QKGejJMncXUNUb9pUFbEf,618427,egyptian trap,TUL8TE,63,Egypt
5CSaIf8OAstAYE5oqQeS15,557579,egyptian viral pop,Magdy El Zahar,58,Egypt
25P1GMgHepq6rkzRwg2DcB,1541706,mahraganat,Eslam Kabonga,61,Egypt
3mUUUQDWnVlttF1yERxmPQ,1030496,egyptian trap,Ilmond,60,Egypt
