artists,followers,genres,name,popularity,country
4gdMJYnopf2nEUcanAwstx,4659177,"desi pop, hindi indie, indian indie, indian singer-songwriter",Anuv Jain,77,Pakistan
05etL4pzWd6TSv1x5WrlG3,121371,kashmiri pop,Faheem Abdullah,66,Pakistan
22UtphG4LcwxlhhV0aP4js,52430,kashmiri pop,Rauhan Malik,66,Pakistan
6MPuzz9hPrs4TwxeHh4cEj,28243,,Amir Ameer,66,Pakistan
1SyKki7JI1AZNKwgNMkn25,1789885,"desi pop, filmi, modern bollywood",Sachet-Parampara,72,Pakistan
1E6arsXf5Fgsnv9YpSzjpE,1570570,"desi pop, filmi, modern bollywood",Parampara Tandon,73,Pakistan
3GBSge8pq7mpezUQl0GAOA,178939,modern bollywood,Kausar Munir,74,Pakistan
1mBydYMVBECdDmMfE2sEUO,3889503,"filmi, gujarati pop, modern bollywood",Sachin-Jigar,83,Pakistan
4ojkMVHjuDZgDXSJy5qs2h,64817,modern bollywood,Madhubanti Bagchi,68,Pakistan
0NErdIJtuKBjtxKmlqaWdj,602519,"filmi, indian folk, modern bollywood",Divya Kumar,74,Pakistan
2fMqTqiTxUDlmcOEPaQSsx,1598283,modern bollywood,Amitabh Bhattacharya,82,Pakistan
7uIbLdzzSEqnX0Pkrb56cR,22224784,"filmi, hindi hip hop, modern bollywood",Yo Yo Honey Singh,80,Pakistan
19LIHDDSHBD5NyYHI3gpzB,2546502,"filmi, modern bollywood",Shilpa Rao,78,India
4zCH9qm4R2DADamUHMCa6O,34691178,"desi hip hop, filmi, tamil hip hop",Anirudh Ravichander,86,India
4GISoVSxo2LkF5EyorXs9W,74866,,Ramajogayya Sastry,71,India
3PpjqSKBer3obW6lDflOBx,583560,"filmi, modern bollywood",Ram Sampath,67,Pakistan
4YRxDV8wJFPHPTeXepOstw,130083899,"filmi, modern bollywood",Arijit Singh,91,Pakistan
7vCsTTACb2iT4fvBMnwp5w,35139,,Prashant Pandey,66,Pakistan
5VVN3xZw1i2qihfITZlvCZ,12749610,"kollywood, tamil pop",G. V. Prakash,78,India
1QvyquqkuuwUzdszyoKIy4,3441295,filmi,Haricharan,73,India
1rdQOMFFtoskDXXUVjiGo9,1972615,filmi,Shweta Mohan,73,India
3o7GGc9KjbLzTCwOq9WL55,4314,,Karthik Netha,63,India
1T7MiVJ2MJlR5GKi11w4VT,1264228,bhojpuri pop,Pawan Singh,75,India
1eQsrFTW5NHQs1X7B0mImu,63334,,Simran Choudhary,65,India
2rN8LHqK4TBI7y3d9POvJb,533303,"haryanvi hip hop, haryanvi pop",Dhanda Nyoliwala,72,India
0qS0rxCY4YfrUx9GCTlDIW,1557515,"classic kollywood, filmi",Malaysia Vasudevan,68,India
4PY2xnTu90K0hvkgcljRJl,38527,tamil pop,Deepthi Suresh,66,India
3UVLcqHc3pOMsWiZv2MeIZ,5952,,Yugendran Vasudevan,63,India
09UmIX92EUH9hAK4bxvHx6,9663748,"filmi, modern bollywood",Mithoon,75,India
2FKWNmZWDBZR4dE5KX4plR,26313327,"filmi, modern bollywood, punjabi pop",Diljit Dosanjh,82,Pakistan
6DARBhWbfcS9E4yJzcliqQ,14238190,"desi hip hop, punjabi pop",Karan Aujla,82,Pakistan
3nqS8jzqmsPKFJTp0BOIel,417513,punjabi pop,Ikky,73,Pakistan
0TnOYISbd1XYRBk9myaseg,11020986,"dance pop, miami hip hop, pop",Pitbull,86,India
4f7KfxeHq9BiylGmyXepGt,4610227,"desi pop, filmi, modern bollywood",Tanishk Bagchi,79,India
1wRPtKGflJrBx9BmLsSwlU,42165825,"filmi, indian instrumental, modern bollywood",Pritam,90,India
3tHD07u1ON4uHxmnT9rwqZ,2381010,"filmi, modern bollywood",Neeraj Shridhar,72,India
1gegc3MqXY9tE3SL0PyLKr,261,,Dhrruv Yogi,63,India
5sifufajls8Q6k04Y4F8mH,72331,modern bollywood,Sameer Anjaan,69,India
5GnnSrwNCGyfAU4zuIytiS,10783360,"filmi, modern bollywood",Mohit Chauhan,77,India
5wJ1H6ud777odtZl5gG507,5977543,"desi pop, filmi, modern bollywood",Vishal Mishra,78,Pakistan
6SWmwFBXIsxhIx5XPkYo0a,18060,,Josh Brar,62,Pakistan
0y59o4v8uw5crbN9M3JiL1,27496907,"desi hip hop, desi trap, filmi, modern bollywood",Badshah,78,Pakistan
183DgO92lAqgpVVNKI7ZKF,288362,punjabi pop,Raj Ranjodh,65,Pakistan
3ozYqVCLohfpXIhalkhM8D,523622,desi pop,Aditya Rikhari,69,Pakistan
0T1CMVkqffHlqEk4BcAph1,10687241,"filmi, modern bollywood",Tulsi Kumar,76,India
5TNSXFCNwlq2CfiMcNOCDP,53618,"desi pop, modern bollywood",Lijo George-Dj Chetas,67,India
5o36rLQd78Zh8CaT8rn59d,69475,modern bollywood,Shreyas Puranik,64,India
6k6TIai4KyKG1DeIMftSmJ,26406,modern bollywood,Siddharth - Garima,66,India
3iGhlvzpXc0UHBQ7klAItX,646524,desi pop,Mitraz,69,India
2DFCHTDIA0t638a4mm37dK,108706,modern bollywood,Raj Shekhar,67,Pakistan
5Z8nzSJRSo4HRcUOzemnC1,191705,punjabi lo-fi,Juss,66,Pakistan
05dG9pMLRWenxzvSmefE6U,247840,"punjabi lo-fi, punjabi pop",MixSingh,68,Pakistan
6WOdPJmexxFINcKMkP2jMG,5298614,"desi pop, filmi, modern bhajan, modern bollywood",Sachet Tandon,75,India
6q29t5RuXxlBuqIZsOMQss,143809,"gujarati pop, modern bollywood",Priya Saraiya,69,India
2cjQTf2J5yCaNY8qHpW855,1233407,"desi pop, urdu hip hop",AUR,68,Pakistan
4gzrZDyL5gYiROkv27pYKx,234794,"desi pop, modern bollywood",Varun Jain,69,India
5r3wPya2PpeTTsXsGhQU8O,5397714,punjabi hip hop,Shubh,77,Pakistan
2oSONSC9zQ4UonDKnLqksx,29605290,"classic pakistani pop, filmi, modern bollywood, sufi",Atif Aslam,81,India
1HY2Jd0NmPuamShAr6KMms,33083714,"art pop, dance pop, pop",Lady Gaga,92,Vietnam
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Vietnam
3eVa5w3URK5duf6eyVDbu9,8331839,k-pop,ROSÉ,86,Vietnam
3qpyErDI4i90q5EGgSRmNK,179685,"desi pop, indian singer-songwriter, modern bollywood",Raghav Chaitanya,67,India
7xcbCUOXrxDyWxbYxPq60B,480,,Indraneel,62,India
1bTROl5p3rGTpvKeWnGgrw,1147184,"filmi, modern bollywood",Sohail Sen,66,India
2o4R2rK7FetH40HTv0SUWl,1090117,"filmi, modern bollywood",Monali Thakur,67,India
682M6cmwGHOyAB1ZmPv38W,333088,"desi pop, punjabi pop",Gurnazar,64,India
5aWkTGq5O45ES0fDFmN1Wv,67101,,Chet Singh,61,India
2UWTNi6LLK5lXNGzFWzIqT,85108,modern bollywood,Aparshakti Khurana,62,India
6jvvFfe34NYXjWZMz7rExP,140452,,Savi Kahlon,65,India
4xNgNFUMUuGCoy7IX74Y60,336149,desi pop,Mohammad Faiz,64,India
5gZhfbckaWo89OzDSk3gdT,647280,"desi pop, punjabi pop",Jaani,76,Pakistan
0m3D4grap8VFSzbJMqgNVk,463748,modern bollywood,Kumaar,74,India
0oOet2f43PA68X5RxKobEy,27387777,"filmi, modern bollywood",Shreya Ghoshal,85,India
6k6dimE4a6OFnD0HWmkIUW,196739,"filmi, modern bollywood",Tochi Raina,65,India
5jJrJU7VVmxQQLcLAmmxXc,157147,,Sai Abhyankkar,64,India
139FRgoVcJ82jogPttiWcc,20354,,Sai Smriti,61,India
6LEG9Ld1aLImEFEVHdWNSB,6078791,"desi hip hop, desi pop, punjabi hip hop, punjabi pop",AP Dhillon,76,Pakistan
74OaRjmyh0XyRZsQQQ5l7c,2556089,"desi pop, filmi, indian singer-songwriter, modern bollywood",Jasleen Royal,72,India
3NHwwyb1coYa5cLyI72xSk,535287,mollywood,Dulquer Salmaan,63,India
2GoeZ0qOTt6kjsWW4eA6LS,23632841,"desi pop, filmi, gujarati pop, modern bollywood",Darshan Raval,77,India
00sCATpEvwH48ays7PlQFU,1372188,"filmi, modern bollywood",Jonita Gandhi,72,India
3dN9MQpjIyNxyeRfz4EDZe,1172145,"desi pop, modern bollywood",Rochak Kohli,73,India
3nLLr3ShsQC2Hdrwjl14ie,12115,"desi pop, modern bollywood",Gurpreet Saini,63,India
47z98pKd71yIbgXwe9LPVC,2811836,,Bernadya,82,Malaysia
0f6TyESD8E1mD2oLJ4TGv1,1258111,"bandung indie, indonesian emo, indonesian post-hardcore",For Revenge,74,Indonesia
5Plk4JdCzMxhAHSRTEsxJp,211214,malaysian pop,Ernie Zakri,67,Malaysia
1lg1jqQMMJQQFFMnkxn0zV,37546,,Ade Govinda,67,Malaysia
7Gy1PxqrgsiqWF6JNYPHeB,852152,indonesian indie,.Feast,71,Indonesia
6X28gNASnalAWseUA8uI4X,94563,"indonesian hip hop, indonesian pop",Adrian Khalif,68,Indonesia
3tMTXQyRrPmMyHv5SoC0TV,1663758,indonesian pop,Juicy Luicy,80,Indonesia
1v1khTmozNfxB2ET1Ep288,9896854,"indonesian pop punk, indonesian rock",Last Child,75,Indonesia
16B3ICSQCPu4C6L5TEHXQe,110564,,Rio Clappy,65,Indonesia
6Sv2jkzH9sWQjwghW5ArMG,5701654,indonesian pop,Lyodra,75,Malaysia
6YPfs6tdZXvnlzgZNU3SYT,147779,indonesian pop,Dudy Oris,67,Indonesia
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,Thailand
53tuXn4uXfDqZYhAFMxZdt,105697,,Nyoman Paul,67,Indonesia
3wOsYKZM0zcKNasi3I7fP4,14836626,indonesian pop,Mahalini,76,Indonesia
327ipGIr9bD3MkLb2eucqC,251119,indonesian pop,Suara Kayu,64,Indonesia
66NmU5epI0ONGmdCRbLpmW,3734279,indonesian pop,Feby Putri,71,Indonesia
1JvbNeV9zG9Sew1JyaWsyx,1274637,indonesian pop,Anggi Marito,65,Malaysia
20zafXaLhm5IcXnSU93rNn,6794175,indonesian pop,Nadin Amizah,74,Indonesia
1WX2v0BiEW19Vw7xmznLdZ,1631865,indonesian pop,Vierra,71,Indonesia
06QVnTCdjs4jPKO0487EGV,5286546,"bandung indie, indonesian folk pop, indonesian indie, indonesian pop, indonesian pop punk",Fiersa Besari,70,Indonesia
51kyrUsAVqUBcoDEMFkX12,4648433,indonesian pop,Hindia,77,Indonesia
1NjxFrpEGZTV2Ny0OJxeWu,957777,"indonesian pop, malang indie",Sal Priadi,70,Indonesia
0kw7tMniMnrp9Pcr7vgDAm,83988,indonesian pop punk,Stereo Wall,64,Indonesia
6UgERnTHmjk3qXM9x5vzyO,1165518,indonesian r&b,Nadhif Basalamah,65,Malaysia
4sEWznAKWWNcicTuLxzb6d,1828584,"indonesian pop, indonesian pop rock",Nidji,69,Indonesia
1ZT1OfVAO3kpOEHVejBxV8,474439,indonesian pop,Meiska,65,Indonesia
2iDVt6mFbtbDEZG5ax0dTi,16770625,"indonesian jazz, indonesian pop, indonesian singer-songwriter",Tulus,76,Indonesia
5vTG3EyFrsARtIGDWZNRzu,454823,indonesian folk,Hal,66,Indonesia
4bAgr9zaF0bpzVGHdHuf0f,11344075,"indonesian pop, malaysian pop",Virgoun,70,Indonesia
611ajYp7fMbkU5CYF08tje,422541,indonesian pop,Audy,64,Indonesia
6O74knDqdv3XaWtkII7Xjp,3263205,"boy band, contemporary r&b, new jack swing, r&b, urban contemporary",Boyz II Men,71,Indonesia
2dyCbip3jAVmQNAs7Sg8Y9,169049,indonesian pop,Vionita,61,Indonesia
4AhHkaGz7W2bKKJK90IaV2,314776,indonesian folk,Batas Senja,64,Indonesia
3DHOtJqv0Bw65ENlK4FiSF,1885523,"indonesian pop, indonesian pop rock",Yovie & Nuno,71,Indonesia
4IWBUUAFIplrNtaOHcJPRM,19119292,"pop, talent show, uk pop",James Arthur,82,Malaysia
1zNqDE7qDGCsyzJwohVaoX,12148795,pop,Anne-Marie,79,Malaysia
0kPb52ySN2k9P6wEZPTUzm,8235820,indonesian pop,Tiara Andini,74,Indonesia
6RoZip1Hn7ahR6MjzBKKLK,843077,indonesian pop,Mawar de Jongh,63,Indonesia
5L1lO4eRHmJ7a0Q6csE5cT,9780366,k-pop,LISA,82,Thailand
7Ln5yumFjHCkeZ8bAzHUcp,380810,indonesian pop,Yovie Widianto,68,Indonesia
4ubEZ6sMsrrbQChueyouCC,2237926,indonesian pop,Hivi!,72,Indonesia
5Ea0d3mUECVaMf8h2DTehE,74420,,Static,55,Israel
1Wq2STGiL7ZaIHAm5jMakc,90075,israeli pop,ששון איפרם שאולוב,58,Israel
2LUB7PhWK2j2obgSTeD3GN,344698,israeli mediterranean,Osher Cohen,61,Israel
7lwdlhwSxbB36wqnOwo5Kd,51320,israeli hip hop,סטילה,56,Israel
2ygecp3YQJwBHL7LNzDgwe,38727,,Ness,55,Israel
1IAEef07H0fd9aA8aUHUlL,1215307,"israeli mediterranean, israeli pop, mizrahi",Omer Adam,69,Israel
1wak0ZG1LUrZPYx8RDTQoD,523320,israeli pop,Noa Kirel,55,Israel
28jEBK1RysfSUBHFofFflA,235171,israeli pop,אודיה,61,Israel
3cDi1D2FHMVgljfdB1QVgr,123907,israeli pop,Jasmin Moallem,55,Israel
7o5IkQicos4SrXeny1LOZr,11948,israeli pop,שירז אברהם,48,Israel
2YHuWGXNWLmpBTKo1rQ3me,76021,israeli hip hop,E-Z,50,Israel
0pv7p5CElqhjhzyPD4eXpe,51774,israeli hip hop,ליעד מאיר,47,Israel
24HI9hevLjIQtj7xp2CeHs,299057,israeli mediterranean,Peer Tasi,59,Israel
36TG4OFhKuCHnTFCa6BEh7,16998,,מ',49,Israel
0WfHRTAUTncteWfXm917EG,6270,,ילד.,44,Israel
6VdxGMRiiFQhI8F0FkuQZg,505302,"israeli mediterranean, mizrahi",Itay Levi,56,Israel
01r7peBt7lJhz42nE04rpM,26985,"israeli hip hop, israeli trap",ShrekDiMC,50,Israel
6uQl3gu1AIXyvqCAxnc2q4,735045,israeli mediterranean,Eden Hason,59,Israel
22wbnEMDvgVIAGdFeek6ET,4010734,singer-songwriter pop,Benson Boone,86,Singapore
7MKSeamhiRpa0xiS4FHGSC,19926,israeli trap,Kfir Tsafrir,42,Israel
3umXlcgiDTcCRkvPVobeJc,204271,"israeli hip hop, israeli pop",Hatikva 6,48,Israel
17pbOSPIn3lmY0vHhOlKGL,377524,"israeli hip hop, israeli pop",Tuna,57,Israel
33qOK5uJ8AR2xuQQAhHump,3488512,,Teddy Swims,87,Israel
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,Taiwan
1CD5WWtF6AFUq6BTY20I4k,91738,israeli rock,Full Trunk,49,Israel
6ltKIf1bortd0DQbpgKdQu,41272,israeli hip hop,Jimbo J,46,Israel
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,Singapore
78u2puZeKJRYIfNHkx2Jdh,174484,"israeli hip hop, jewish hip hop",Hadag Nahash,47,Israel
0T0COcAFHD9oZ704HbZr2A,37034,"classic israeli pop, israeli pop",Shai Tsabari,40,Israel
2JQK9mzxqKz16lSgICHDTx,339196,"israeli hip hop, israeli trap",Ravid Plotnik,57,Israel
72UMGUwvrkXSesefytfLWy,56747,classic israeli pop,Danny Robas,40,Israel
2loEsOijJ6XiGzWYFXMIRk,224723,melodic house,Adam Port,77,Israel
6XjgqvaVLUib6lCerbZrYD,12932,,Stryv,75,Israel
