artists,followers,genres,name,popularity,country
78F6Xkd46aMHkr4AP60TXY,149795,trap latino,Clarent,71,Spain
3E12tRURRvPfHz0hAMCFYc,454232,"trap boricua, trap latino, urbano latino",Omar Courtz,81,Spain
54seKvtsZauR1iauN0ptpo,324057,"trap latino, urbano latino",De La Rose,79,Spain
30Ml7nTMkXYyb0UoLwtmCc,50352,,Los Diozes,62,Spain
7iK8PXO48WeuP03g8YR51W,17505691,"reggaeton, trap latino, urbano latino",Myke Towers,90,Spain
5CiGnKThu5ctn9pBxv7DGa,1254778,pop,benny blanco,79,Spain
0CVOcYvRcSvOXyuR4YGKaC,265066,spanish pop,Dani Fernández,69,Spain
2tmrdVbpFzIVIOcqxvErj2,8352,,Los Sufridos,62,Spain
4F4pp8NUW08JuXwnoxglpN,1867526,"neoperreo, rap catala, rap latina, trap catala, urbano espanol, urbano latino",Bad Gyal,75,Spain
0EmeFodog0BfCgMzAIvKQp,35661060,"colombian pop, dance pop, latin pop, pop",Shakira,88,Spain
1HY2Jd0NmPuamShAr6KMms,33135954,"art pop, dance pop, pop",Lady Gaga,92,United Kingdom
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,United Kingdom
37S0GFsBW73uqxGXNFeADJ,40778,cloud rap francais,Ghost Killer Track,61,Spain
0VZrPa7mWAYXH4CwmYk8Km,2942679,"drill espanol, trap latino, trap triste, urbano espanol, urbano latino",Kidd Keo,72,Spain
0FwnPHExlRRxEZPLAi5tmG,1018089,urbano espanol,JC Reyes,76,Spain
4RWJOoYwgF978LOn8Fainp,334678,cantautora argentina,Yami Safdie,71,Andorra
3SCOuAxngTC1yGjKMcIPEd,885554,pop venezolano,Lasso,72,Andorra
0tmwSHipWxN12fsoLcFU3B,14326098,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Manuel Turizo,84,Spain
3UTF2no3muGdiFXVujl94i,334018,,Kapo,81,Spain
5qPeAT4ikl6gJNUexAOEy0,182799,"indie catala, musica catalana, reggae catala, rock catala",Oques Grasses,61,Andorra
6TKygPpVT29oGUogu4J9Ec,252556,"trap boricua, trap latino, urbano latino",Yan Block,78,Spain
34PYzJSu4DHKEyhdBfsn0E,11529,,TORRRES,63,Spain
6TKygPpVT29oGUogu4J9Ec,252556,"trap boricua, trap latino, urbano latino",Yan Block,78,Spain
22dFwJoRBV51ue5TGnC7Dt,1536268,"drill espanol, urbano espanol",Beny Jr,77,Spain
1iCnM8foFssWlPRLfAbIwo,591324,bedroom pop,Gigi Perez,82,United Kingdom
2NeFajzkAQ4UfviWdzf0pK,144596,pop flamenco,Marta Santos,66,Andorra
3UTF2no3muGdiFXVujl94i,334018,,Kapo,81,Spain
6XyY86QOPPrYVGvF9ch6wz,27864882,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93,Switzerland
5qPeAT4ikl6gJNUexAOEy0,182799,"indie catala, musica catalana, reggae catala, rock catala",Oques Grasses,61,Andorra
1XSmez9xyCCPpOZp0uImwM,161852,jazz catala,Rita Payés,56,Andorra
3UTF2no3muGdiFXVujl94i,334018,,Kapo,81,Spain
6B1hSmaLdOvChinK2Z7gfi,65213,,Maisak,72,Spain
2LRoIwlKmHjgvigdNGBHNo,15038803,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",Feid,92,Spain
33qOK5uJ8AR2xuQQAhHump,3506837,,Teddy Swims,87,United Kingdom
6k8mwkKJKKjBILo7ypBspl,972511,spanish pop,Ana Mena,69,Spain
0AqlFI0tz2DsEoJlKSIiT9,3873364,pop argentino,Emilia,81,Spain
790FomKkXshlbRYZFtlgla,52566729,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91,Switzerland
