artists,followers,genres,name,popularity,country
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,Canada
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
1jiZvw42D4oquLl24x2VWV,35738,,Lefty Gunplay,77,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
7tYKF4w9nC0nq9CsPZTHyP,24795544,"pop, r&b, rap",SZA,92,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
4VHa48wXlsDA2vWfgIi7cX,12525,westcoast flow,Dody6,73,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
6cUpFVxDYWed9WxtC4QgC5,33124,"cali rap, westcoast flow",Wallie the Sensei,72,United States
7J5UWTbsUFjoSQZQCQCqbQ,3044,westcoast flow,Siete7x,72,United States
757aE44tKEUQEqRuT6GnEB,11021260,"melodic rap, rap, trap",Roddy Ricch,80,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
4tuJ0bMpJh08umKkEXKUI5,3350263,alt z,Gracie Abrams,91,Canada
4V8LLVI7PbaPR0K2TGSxFF,18132232,"hip hop, rap","Tyler, The Creator",94,Canada
2qoQgPAilErOKCwE2Y8wOG,1436205,southern hip hop,GloRilla,83,Canada
3DbwFQlvLxRSi2uX8mf81A,1589423,trap queen,Sexyy Red,82,Canada
55Aa2cqylxrFIXC767Z865,15742767,"hip hop, new orleans rap, pop rap, rap, trap",Lil Wayne,89,Canada
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
6fqjJNsLs7g6F3PXy01Xnw,117655,cali rap,AzChike,72,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
1HY2Jd0NmPuamShAr6KMms,33135954,"art pop, dance pop, pop",Lady Gaga,92,Mexico
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,Mexico
1iCnM8foFssWlPRLfAbIwo,591324,bedroom pop,Gigi Perez,82,Canada
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
7tYKF4w9nC0nq9CsPZTHyP,24795544,"pop, r&b, rap",SZA,92,United States
2YZyLoL8N0Wb9xBt1NhZWg,34908756,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
50DchbKTiJU56SYmIRSJCI,7472,,Hitta J3,69,United States
1q2nUylEqrRJkiDkXa39Mw,11971,westcoast flow,YoungThreat,69,United States
27OdVby2oeFjM1C5XvC3hC,161365,,Peysoh,71,United States
3eVa5w3URK5duf6eyVDbu9,8390154,k-pop,ROSÉ,86,Mexico
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,Mexico
6qqNVTkY8uBg9cP3Jd7DAH,103248986,"art pop, pop",Billie Eilish,96,Canada
