artists,followers,genres,name,popularity,country
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,New Zealand
3eVa5w3URK5duf6eyVDbu9,8331839,k-pop,ROSÉ,86,New Zealand
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,New Zealand
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,New Zealand
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,New Zealand
1HY2Jd0NmPuamShAr6KMms,33083714,"art pop, dance pop, pop",Lady Gaga,92,New Zealand
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,New Zealand
3y2cIKLjiOlp1Np37WiUdH,829146,"modern country pop, pop rap",Shaboozey,80,New Zealand
22wbnEMDvgVIAGdFeek6ET,4010734,singer-songwriter pop,Benson Boone,86,New Zealand
1iCnM8foFssWlPRLfAbIwo,574714,bedroom pop,Gigi Perez,82,New Zealand
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,New Zealand
7GlBOeep6PqTfFi59PTUUN,4071059,indie pop,Chappell Roan,88,New Zealand
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,New Zealand
246dkjvS1zLTtiykXe5h60,45922292,"dfw rap, melodic rap, pop, rap",Post Malone,91,New Zealand
4oUHIQIBe0LHzYfvXNW4QM,11238450,contemporary country,Morgan Wallen,90,New Zealand
1Xyo4u8uXC1ZmMpatF05PJ,95411178,"canadian contemporary r&b, canadian pop, pop",The Weeknd,96,New Zealand
699OTQXzgjhIYAHMy9RyPD,12395960,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,New Zealand
7Ez6lTtSMjMf2YSYpukP1I,264069,,Dasha,76,New Zealand
33qOK5uJ8AR2xuQQAhHump,3488512,,Teddy Swims,87,New Zealand
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,New Zealand
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,New Zealand
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,New Zealand
2FXC3k01G6Gw61bmprjgqS,8109432,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,86,New Zealand
69GGBxA162lTqCwzJG5jLp,20668786,pop,The Chainsmokers,83,New Zealand
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,New Zealand
3bO19AOone0ubCsfDXDtYt,831041,singer-songwriter pop,Myles Smith,80,New Zealand
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,New Zealand
2RQXRUsr4IW1f3mKyKsy4B,3601728,"pov: indie, singer-songwriter pop",Noah Kahan,86,New Zealand
2FXC3k01G6Gw61bmprjgqS,8109432,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,86,Australia
40ZNYROS4zLfyyBSs2PGe2,5606988,classic oklahoma country,Zach Bryan,90,New Zealand
2tIP7SsRs7vjIcLrU85W8J,5890212,australian hip hop,The Kid LAROI,85,New Zealand
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,New Zealand
40ZNYROS4zLfyyBSs2PGe2,5606988,classic oklahoma country,Zach Bryan,90,New Zealand
70kkdajctXSbqSMJbQO424,1508348,"classic texas country, contemporary country, country dawn",Kacey Musgraves,77,New Zealand
22wbnEMDvgVIAGdFeek6ET,4010734,singer-songwriter pop,Benson Boone,86,New Zealand
2sil8z5kiy4r76CRTXxBCA,3018497,"neo mellow, permanent wave, pop rock, post-grunge",The Goo Goo Dolls,77,New Zealand
7GlBOeep6PqTfFi59PTUUN,4071059,indie pop,Chappell Roan,88,New Zealand
4V8LLVI7PbaPR0K2TGSxFF,18061113,"hip hop, rap","Tyler, The Creator",94,New Zealand
20wkVLutqVOYrc0kxFs7rA,7372380,canadian contemporary r&b,Daniel Caesar,87,New Zealand
0Y5tJX1MQlPlqiwlOH1tJY,34910223,"rap, slap house",Travis Scott,94,New Zealand
699OTQXzgjhIYAHMy9RyPD,12395960,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,New Zealand
0C0XlULifJtAgn6ZNCW2eu,7573310,"alternative rock, dance rock, modern rock, permanent wave, rock",The Killers,79,Australia
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,Australia
40ZNYROS4zLfyyBSs2PGe2,5606988,classic oklahoma country,Zach Bryan,90,Australia
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,Australia
6kbR2eL4hecj3rFwGOsYsI,24369,,BL3SS,71,Australia
20rKUmFZsfv9GBXiv6R9d6,20319,,CamrinWatsin,71,Australia
2UNjfzEkfsdWVDwnuD6vdH,3809,,bbyclose,71,Australia
4j96cMcT8GRi11qbvo1cLQ,204956,,Michael Marcagi,73,Australia
08GQAI4eElDnROBrJRGE0X,12364588,"album rock, classic rock, rock, soft rock, yacht rock",Fleetwood Mac,83,New Zealand
10exVja0key0uqUkk6LJRT,3219475,"folk-pop, modern rock",Vance Joy,78,New Zealand
25uiPmTg16RbhZWAqwLBy5,4498935,"art pop, candy pop, metropopolis, pop, uk pop",Charli xcx,87,Australia
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,Australia
06HL4z0CvFAxyc27GXpf02,127212154,pop,Taylor Swift,100,Australia
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,Australia
4gvjmrtzydbMpyJaXUtwvP,513902,social media pop,Addison Rae,76,Australia
4oUHIQIBe0LHzYfvXNW4QM,11238450,contemporary country,Morgan Wallen,90,New Zealand
1WaFQSHVGZQJTbf0BdxdNo,770146,chill abstract hip hop,Tommy Richman,78,New Zealand
