artists,followers,genres,name,popularity,country
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Uruguay
7iK8PXO48WeuP03g8YR51W,17456320,"reggaeton, trap latino, urbano latino",Myke Towers,90,Venezuela
5Y3MV9DZ0d87NnVm56qSY1,5468992,"trap argentino, trap latino, urbano latino",Tiago PZK,80,Uruguay
7FNnA9vBm6EKceENgCGRMb,12805981,"funk pop, funk rj, pagode baiano, pop, pop nacional",Anitta,83,Uruguay
0AqlFI0tz2DsEoJlKSIiT9,3856979,pop argentino,Emilia,81,Uruguay
2OhUNb01gLwygOizYvTm0e,681652,trap argentino,Big One,75,Uruguay
2BTS8Np1YzPQuXjgdlqsBB,515739,"argentine hip hop, rap conciencia, rap underground argentino",Emanero,71,Uruguay
55ru5B05MMBunM1tvH7Di6,267286,,Valentino Merlo,74,Uruguay
790FomKkXshlbRYZFtlgla,52495430,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91,Venezuela
0AqlFI0tz2DsEoJlKSIiT9,3856979,pop argentino,Emilia,81,Uruguay
1FxPMQ9A0882eNDx3ZkD6B,821608,cumbia pop,La T y La M,71,Argentina
6Gsh7oJoJ5EQUuQk0EhfWL,62275,rap underground argentino,Malandro,63,Argentina
3E12tRURRvPfHz0hAMCFYc,445692,"trap boricua, trap latino, urbano latino",Omar Courtz,81,Venezuela
54seKvtsZauR1iauN0ptpo,314448,"trap latino, urbano latino",De La Rose,79,Venezuela
1DxLCyH42yaHKGK3cl5bvG,7258191,"pop argentino, urbano latino",Maria Becerra,82,Uruguay
0ZCO8oVkMj897cKgFH7fRW,7886635,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical",Los Ángeles Azules,79,Uruguay
0AqlFI0tz2DsEoJlKSIiT9,3856979,pop argentino,Emilia,81,Uruguay
5Y3MV9DZ0d87NnVm56qSY1,5468992,"trap argentino, trap latino, urbano latino",Tiago PZK,80,Uruguay
06Q5VlSAku57lFzyME3HrM,4052740,cumbia pop,Ke Personajes,78,Uruguay
55ru5B05MMBunM1tvH7Di6,267286,,Valentino Merlo,74,Uruguay
4oZolC0sCwCAKqsNXfRlVS,471202,cumbia pop,The La Planta,73,Uruguay
7iK8PXO48WeuP03g8YR51W,17456320,"reggaeton, trap latino, urbano latino",Myke Towers,90,Uruguay
5CiGnKThu5ctn9pBxv7DGa,1252138,pop,benny blanco,79,Venezuela
7yIp2QRLkQ6loIrupimiri,40960,cumbia pop,Pinky SD,78,Argentina
2Mt2vBBEckrvXtg0JldwZ0,178147,,Un Poco de Ruido,78,Argentina
5Qv1EsPany9Fc3yyCJnoxw,195821,cumbia santafesina,Uriel Lozano,71,Argentina
