artists,followers,genres,name,popularity,country
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,Saudi Arabia
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,Canada
1jiZvw42D4oquLl24x2VWV,34818,,Lefty Gunplay,76,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
7tYKF4w9nC0nq9CsPZTHyP,24716945,"pop, r&b, rap",SZA,92,Malaysia
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
4VHa48wXlsDA2vWfgIi7cX,11983,westcoast flow,Dody6,72,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
6cUpFVxDYWed9WxtC4QgC5,32946,"cali rap, westcoast flow",Wallie the Sensei,72,United States
7J5UWTbsUFjoSQZQCQCqbQ,2940,westcoast flow,Siete7x,72,United States
757aE44tKEUQEqRuT6GnEB,11015491,"melodic rap, rap, trap",Roddy Ricch,80,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,United Kingdom
4V8LLVI7PbaPR0K2TGSxFF,18061113,"hip hop, rap","Tyler, The Creator",94,United Kingdom
2qoQgPAilErOKCwE2Y8wOG,1422531,southern hip hop,GloRilla,83,Canada
3DbwFQlvLxRSi2uX8mf81A,1579306,trap queen,Sexyy Red,82,Canada
55Aa2cqylxrFIXC767Z865,15722034,"hip hop, new orleans rap, pop rap, rap, trap",Lil Wayne,89,Canada
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
6fqjJNsLs7g6F3PXy01Xnw,117300,cali rap,AzChike,71,United States
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
1HY2Jd0NmPuamShAr6KMms,33083714,"art pop, dance pop, pop",Lady Gaga,92,Vietnam
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Vietnam
1iCnM8foFssWlPRLfAbIwo,574714,bedroom pop,Gigi Perez,82,United Kingdom
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
7tYKF4w9nC0nq9CsPZTHyP,24716945,"pop, r&b, rap",SZA,92,Malaysia
2YZyLoL8N0Wb9xBt1NhZWg,34810650,"conscious hip hop, hip hop, rap, west coast rap",Kendrick Lamar,97,United States
50DchbKTiJU56SYmIRSJCI,7287,,Hitta J3,69,United States
1q2nUylEqrRJkiDkXa39Mw,11842,westcoast flow,YoungThreat,69,United States
27OdVby2oeFjM1C5XvC3hC,160411,,Peysoh,70,United States
