position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
0,اتنسينا,[4IMgqWorWJUqUlbULGdoBa],0.641,0.389,7,-11.462,1,0.0777,0.903,0.0,0.0816,0.635,163.904,audio_features,0kZtRxxBDbMO4vZApAiNOZ,spotify:track:0kZtRxxBDbMO4vZApAiNOZ,https://api.spotify.com/v1/tracks/0kZtRxxBDbMO4vZApAiNOZ,https://api.spotify.com/v1/audio-analysis/0kZtRxxBDbMO4vZApAiNOZ,151427,4,Egypt
1,KEBDA,"[7yBuSjd5Z3w7acodk51evR, 33Dgas4QUk9jjh2TnolVwj]",0.875,0.67,7,-3.601,1,0.335,0.446,0.0,0.101,0.819,103.933,audio_features,2Cs1t49qL52fPt6ikx15wp,spotify:track:2Cs1t49qL52fPt6ikx15wp,https://api.spotify.com/v1/tracks/2Cs1t49qL52fPt6ikx15wp,https://api.spotify.com/v1/audio-analysis/2Cs1t49qL52fPt6ikx15wp,170769,4,Egypt
2,عشري بيعني انا,[5CSaIf8OAstAYE5oqQeS15],0.827,0.93,6,-0.612,0,0.124,0.276,0.0,0.309,0.859,112.003,audio_features,77KkVJB8SLW6mZvYOxYWV6,spotify:track:77KkVJB8SLW6mZvYOxYWV6,https://api.spotify.com/v1/tracks/77KkVJB8SLW6mZvYOxYWV6,https://api.spotify.com/v1/audio-analysis/77KkVJB8SLW6mZvYOxYWV6,227879,4,Egypt
3,Ana Meen,[6mPZyiInAlfLGBJbX0echu],0.58,0.338,7,-11.905,0,0.0267,0.181,2e-06,0.345,0.522,95.133,audio_features,5LcThJzvvRzOZZb4apH9Px,spotify:track:5LcThJzvvRzOZZb4apH9Px,https://api.spotify.com/v1/tracks/5LcThJzvvRzOZZb4apH9Px,https://api.spotify.com/v1/audio-analysis/5LcThJzvvRzOZZb4apH9Px,189568,4,Egypt
4,Yazmeely,[3mUUUQDWnVlttF1yERxmPQ],0.706,0.467,5,-9.396,0,0.0401,0.575,0.0,0.112,0.224,100.045,audio_features,0rDNeS6IwKi1oMrtkEc5S0,spotify:track:0rDNeS6IwKi1oMrtkEc5S0,https://api.spotify.com/v1/tracks/0rDNeS6IwKi1oMrtkEc5S0,https://api.spotify.com/v1/audio-analysis/0rDNeS6IwKi1oMrtkEc5S0,196806,4,Egypt
5,انتي فاكره نفسك ايه ؟,[4IMgqWorWJUqUlbULGdoBa],0.735,0.512,5,-10.825,0,0.274,0.733,1e-06,0.0978,0.729,104.966,audio_features,2FFtVrD5IEy4pgY1DFz8nV,spotify:track:2FFtVrD5IEy4pgY1DFz8nV,https://api.spotify.com/v1/tracks/2FFtVrD5IEy4pgY1DFz8nV,https://api.spotify.com/v1/audio-analysis/2FFtVrD5IEy4pgY1DFz8nV,138682,4,Egypt
6,عالعموم,[5764EiAfWT26wi1CdLcnwz],0.719,0.556,10,-11.283,0,0.253,0.276,0.0,0.123,0.406,116.996,audio_features,3tfiVsnpCzewE8rPpsRIL6,spotify:track:3tfiVsnpCzewE8rPpsRIL6,https://api.spotify.com/v1/tracks/3tfiVsnpCzewE8rPpsRIL6,https://api.spotify.com/v1/audio-analysis/3tfiVsnpCzewE8rPpsRIL6,164124,4,Egypt
7,حبيبي ليه,[5QKGejJMncXUNUb9pUFbEf],0.61,0.86,5,-7.217,0,0.0362,0.019,0.0311,0.234,0.777,131.854,audio_features,2OSxxCfS81wcds5RbQ0Ztq,spotify:track:2OSxxCfS81wcds5RbQ0Ztq,https://api.spotify.com/v1/tracks/2OSxxCfS81wcds5RbQ0Ztq,https://api.spotify.com/v1/audio-analysis/2OSxxCfS81wcds5RbQ0Ztq,120146,4,Egypt
8,انا من غيرك,[2KJgliIl1dMyeOMyCcnYv7],0.612,0.539,5,-9.14,0,0.0396,0.446,2e-06,0.166,0.284,100.196,audio_features,2nQeY3iJpE57Rnc7r8z2Qx,spotify:track:2nQeY3iJpE57Rnc7r8z2Qx,https://api.spotify.com/v1/tracks/2nQeY3iJpE57Rnc7r8z2Qx,https://api.spotify.com/v1/audio-analysis/2nQeY3iJpE57Rnc7r8z2Qx,211715,4,Egypt
9,ماتيجي اعدي عليكي,[5QKGejJMncXUNUb9pUFbEf],0.773,0.741,6,-7.483,0,0.117,0.622,2.7e-05,0.0653,0.704,112.219,audio_features,5ks7fVLJY4QRlAALIqJfMR,spotify:track:5ks7fVLJY4QRlAALIqJfMR,https://api.spotify.com/v1/tracks/5ks7fVLJY4QRlAALIqJfMR,https://api.spotify.com/v1/audio-analysis/5ks7fVLJY4QRlAALIqJfMR,145455,4,Egypt
