position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
0,Jo Tum Mere Ho,[4gdMJYnopf2nEUcanAwstx],0.46,0.302,1,-12.934,0,0.0398,0.661,0.0,0.293,0.176,123.871,audio_features,0eCajpR75pDW0r64U6hP2x,spotify:track:0eCajpR75pDW0r64U6hP2x,https://api.spotify.com/v1/tracks/0eCajpR75pDW0r64U6hP2x,https://api.spotify.com/v1/audio-analysis/0eCajpR75pDW0r64U6hP2x,251814,5,India
1,Ishq,"[05etL4pzWd6TSv1x5WrlG3, 22UtphG4LcwxlhhV0aP4js, 6MPuzz9hPrs4TwxeHh4cEj]",0.39,0.558,4,-8.92,0,0.0282,0.499,0.0284,0.173,0.292,94.788,audio_features,1hlbywc8Jhl1FFqJxAMabE,spotify:track:1hlbywc8Jhl1FFqJxAMabE,https://api.spotify.com/v1/tracks/1hlbywc8Jhl1FFqJxAMabE,https://api.spotify.com/v1/audio-analysis/1hlbywc8Jhl1FFqJxAMabE,224842,4,India
2,"Raanjhan (From ""Do Patti"")","[1SyKki7JI1AZNKwgNMkn25, 1E6arsXf5Fgsnv9YpSzjpE, 3GBSge8pq7mpezUQl0GAOA]",0.444,0.49,6,-7.328,1,0.0295,0.809,3e-05,0.107,0.2,92.107,audio_features,4vHRQnzGcKEtqsLH70tAms,spotify:track:4vHRQnzGcKEtqsLH70tAms,https://api.spotify.com/v1/tracks/4vHRQnzGcKEtqsLH70tAms,https://api.spotify.com/v1/audio-analysis/4vHRQnzGcKEtqsLH70tAms,240066,4,India
3,"Aaj Ki Raat (From ""Stree 2"")","[1mBydYMVBECdDmMfE2sEUO, 4ojkMVHjuDZgDXSJy5qs2h, 0NErdIJtuKBjtxKmlqaWdj, 2fMqTqiTxUDlmcOEPaQSsx]",0.702,0.853,0,-5.164,1,0.0546,0.345,4e-06,0.126,0.643,116.027,audio_features,5AnWrUzsrFgBvhn6dUElnr,spotify:track:5AnWrUzsrFgBvhn6dUElnr,https://api.spotify.com/v1/tracks/5AnWrUzsrFgBvhn6dUElnr,https://api.spotify.com/v1/audio-analysis/5AnWrUzsrFgBvhn6dUElnr,228621,4,India
4,Millionaire,[7uIbLdzzSEqnX0Pkrb56cR],0.749,0.828,7,-5.609,0,0.142,0.472,6.2e-05,0.231,0.398,95.981,audio_features,78BWCd70D1X6LMkDZm1UoF,spotify:track:78BWCd70D1X6LMkDZm1UoF,https://api.spotify.com/v1/tracks/78BWCd70D1X6LMkDZm1UoF,https://api.spotify.com/v1/audio-analysis/78BWCd70D1X6LMkDZm1UoF,199115,4,India
5,"Chuttamalle (From ""Devara Part 1"")","[19LIHDDSHBD5NyYHI3gpzB, 4zCH9qm4R2DADamUHMCa6O, 4GISoVSxo2LkF5EyorXs9W]",0.677,0.623,4,-7.404,1,0.0797,0.136,5e-06,0.161,0.616,145.56,audio_features,1bxzr3JK05fMTcweGAZUHp,spotify:track:1bxzr3JK05fMTcweGAZUHp,https://api.spotify.com/v1/tracks/1bxzr3JK05fMTcweGAZUHp,https://api.spotify.com/v1/audio-analysis/1bxzr3JK05fMTcweGAZUHp,222064,3,India
6,Husn,[4gdMJYnopf2nEUcanAwstx],0.527,0.376,5,-9.974,1,0.0298,0.682,0.0,0.142,0.24,151.928,audio_features,0TL0LFcwIBF5eX7arDIKxY,spotify:track:0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/tracks/0TL0LFcwIBF5eX7arDIKxY,https://api.spotify.com/v1/audio-analysis/0TL0LFcwIBF5eX7arDIKxY,217895,4,India
7,"Sajni (From ""Laapataa Ladies"")","[3PpjqSKBer3obW6lDflOBx, 4YRxDV8wJFPHPTeXepOstw, 7vCsTTACb2iT4fvBMnwp5w]",0.428,0.413,0,-7.783,1,0.0281,0.827,9e-06,0.108,0.355,79.646,audio_features,5zCnGtCl5Ac5zlFHXaZmhy,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,https://api.spotify.com/v1/tracks/5zCnGtCl5Ac5zlFHXaZmhy,https://api.spotify.com/v1/audio-analysis/5zCnGtCl5Ac5zlFHXaZmhy,170045,4,India
8,"Hey Minnale (From ""Amaran"") (Tamil)","[5VVN3xZw1i2qihfITZlvCZ, 1QvyquqkuuwUzdszyoKIy4, 1rdQOMFFtoskDXXUVjiGo9, 3o7GGc9KjbLzTCwOq9WL55]",0.683,0.609,0,-8.657,0,0.0383,0.263,0.0,0.375,0.423,106.024,audio_features,1kmJ0EvXClJAt0fSSQLX1m,spotify:track:1kmJ0EvXClJAt0fSSQLX1m,https://api.spotify.com/v1/tracks/1kmJ0EvXClJAt0fSSQLX1m,https://api.spotify.com/v1/audio-analysis/1kmJ0EvXClJAt0fSSQLX1m,229811,4,India
9,"Aayi Nai (From ""Stree 2"")","[1mBydYMVBECdDmMfE2sEUO, 1T7MiVJ2MJlR5GKi11w4VT, 1eQsrFTW5NHQs1X7B0mImu, 0NErdIJtuKBjtxKmlqaWdj, 2fMqTqiTxUDlmcOEPaQSsx]",0.862,0.645,1,-5.42,0,0.0418,0.589,0.000535,0.077,0.862,122.998,audio_features,1mQUEvGR7Sbt2OCz2gFrdx,spotify:track:1mQUEvGR7Sbt2OCz2gFrdx,https://api.spotify.com/v1/tracks/1mQUEvGR7Sbt2OCz2gFrdx,https://api.spotify.com/v1/audio-analysis/1mQUEvGR7Sbt2OCz2gFrdx,178781,4,India
