position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
0,IA,[78F6Xkd46aMHkr4AP60TXY],0.706,0.631,0,-5.812,0,0.0366,0.656,0.0,0.227,0.289,111.93,audio_features,7lcbpfihslisNObKdHjyLo,spotify:track:7lcbpfihslisNObKdHjyLo,https://api.spotify.com/v1/tracks/7lcbpfihslisNObKdHjyLo,https://api.spotify.com/v1/audio-analysis/7lcbpfihslisNObKdHjyLo,171429,4,Andorra
1,Q U E V A S H A C E R H O Y ?,"[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]",0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,audio_features,0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4,Andorra
2,DIABLA,[30Ml7nTMkXYyb0UoLwtmCc],0.543,0.587,10,-7.709,0,0.497,0.786,0.0,0.626,0.723,174.075,audio_features,00EWeXw1RLUwCMw8pxtXAE,spotify:track:00EWeXw1RLUwCMw8pxtXAE,https://api.spotify.com/v1/tracks/00EWeXw1RLUwCMw8pxtXAE,https://api.spotify.com/v1/audio-analysis/00EWeXw1RLUwCMw8pxtXAE,217946,4,Andorra
3,DEGENERE 👑 (feat. benny blanco),"[7iK8PXO48WeuP03g8YR51W, 5CiGnKThu5ctn9pBxv7DGa]",0.744,0.709,6,-5.778,0,0.284,0.0501,0.0,0.0847,0.712,194.055,audio_features,0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73,130880,4,Andorra
4,Me has invitado a bailar,[0CVOcYvRcSvOXyuR4YGKaC],0.665,0.544,10,-3.648,1,0.115,0.0129,0.0,0.0752,0.625,163.948,audio_features,3tMftGMXTPbQlmjh4FzXpZ,spotify:track:3tMftGMXTPbQlmjh4FzXpZ,https://api.spotify.com/v1/tracks/3tMftGMXTPbQlmjh4FzXpZ,https://api.spotify.com/v1/audio-analysis/3tMftGMXTPbQlmjh4FzXpZ,192906,4,Andorra
5,Duro De Verdad pt.2,"[2tmrdVbpFzIVIOcqxvErj2, 4F4pp8NUW08JuXwnoxglpN]",0.74,0.738,4,-6.495,0,0.0495,0.0756,0.0015,0.0557,0.908,158.026,audio_features,0glj70T9fN3kyJzYmTKzy1,spotify:track:0glj70T9fN3kyJzYmTKzy1,https://api.spotify.com/v1/tracks/0glj70T9fN3kyJzYmTKzy1,https://api.spotify.com/v1/audio-analysis/0glj70T9fN3kyJzYmTKzy1,204304,4,Andorra
6,Soltera,[0EmeFodog0BfCgMzAIvKQp],0.841,0.752,2,-4.735,1,0.105,0.167,0.00046,0.949,0.67,100.076,audio_features,3OJDtCdYs8QJnui708tEU3,spotify:track:3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3,214643,4,Andorra
7,Die With A Smile,"[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]",0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3,Andorra
8,Celine (with Kidd Keo),"[37S0GFsBW73uqxGXNFeADJ, 0VZrPa7mWAYXH4CwmYk8Km]",0.778,0.503,5,-7.772,0,0.218,0.415,0.0,0.108,0.517,146.125,audio_features,5ER5Fr1Cv7N3chJhAapt66,spotify:track:5ER5Fr1Cv7N3chJhAapt66,https://api.spotify.com/v1/tracks/5ER5Fr1Cv7N3chJhAapt66,https://api.spotify.com/v1/audio-analysis/5ER5Fr1Cv7N3chJhAapt66,176017,4,Andorra
9,STAR,[0FwnPHExlRRxEZPLAi5tmG],0.685,0.615,2,-5.119,1,0.0661,0.358,0.0,0.45,0.0808,113.145,audio_features,2mnehJ4xPqFe4cNi7BG2rc,spotify:track:2mnehJ4xPqFe4cNi7BG2rc,https://api.spotify.com/v1/tracks/2mnehJ4xPqFe4cNi7BG2rc,https://api.spotify.com/v1/audio-analysis/2mnehJ4xPqFe4cNi7BG2rc,156000,4,Andorra
10,En Otra Vida,"[4RWJOoYwgF978LOn8Fainp, 3SCOuAxngTC1yGjKMcIPEd]",0.459,0.162,0,-11.634,1,0.0425,0.929,0.0,0.137,0.483,184.784,audio_features,0EhmTBq33eARyOz3SIi4P2,spotify:track:0EhmTBq33eARyOz3SIi4P2,https://api.spotify.com/v1/tracks/0EhmTBq33eARyOz3SIi4P2,https://api.spotify.com/v1/audio-analysis/0EhmTBq33eARyOz3SIi4P2,153609,3,Andorra
11,Qué Pecao,"[0tmwSHipWxN12fsoLcFU3B, 3UTF2no3muGdiFXVujl94i]",0.837,0.621,4,-7.935,1,0.0474,0.513,6e-06,0.127,0.875,120.055,audio_features,456U68M8lIymkz56Zroxh8,spotify:track:456U68M8lIymkz56Zroxh8,https://api.spotify.com/v1/tracks/456U68M8lIymkz56Zroxh8,https://api.spotify.com/v1/audio-analysis/456U68M8lIymkz56Zroxh8,230905,4,Andorra
12,SORT DE TU,[5qPeAT4ikl6gJNUexAOEy0],0.475,0.267,3,-13.581,1,0.0666,0.92,0.000315,0.104,0.563,110.238,audio_features,054BhpaxELmhu24ECqU8un,spotify:track:054BhpaxELmhu24ECqU8un,https://api.spotify.com/v1/tracks/054BhpaxELmhu24ECqU8un,https://api.spotify.com/v1/audio-analysis/054BhpaxELmhu24ECqU8un,167764,5,Andorra
