position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
0,squabble up,[2YZyLoL8N0Wb9xBt1NhZWg],0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,audio_features,0nj9Bq5sHDiTxSHunhgkFb,spotify:track:0nj9Bq5sHDiTxSHunhgkFb,https://api.spotify.com/v1/tracks/0nj9Bq5sHDiTxSHunhgkFb,https://api.spotify.com/v1/audio-analysis/0nj9Bq5sHDiTxSHunhgkFb,157992,4,United States
1,tv off (feat. lefty gunplay),"[2YZyLoL8N0Wb9xBt1NhZWg, 1jiZvw42D4oquLl24x2VWV]",0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,audio_features,0aB0v4027ukVziUGwVGYpG,spotify:track:0aB0v4027ukVziUGwVGYpG,https://api.spotify.com/v1/tracks/0aB0v4027ukVziUGwVGYpG,https://api.spotify.com/v1/audio-analysis/0aB0v4027ukVziUGwVGYpG,220690,4,United States
2,luther (with sza),"[2YZyLoL8N0Wb9xBt1NhZWg, 7tYKF4w9nC0nq9CsPZTHyP]",0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,audio_features,2CGNAOSuO1MEFCbBRgUzjd,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,https://api.spotify.com/v1/tracks/2CGNAOSuO1MEFCbBRgUzjd,https://api.spotify.com/v1/audio-analysis/2CGNAOSuO1MEFCbBRgUzjd,177599,4,United States
3,wacced out murals,[2YZyLoL8N0Wb9xBt1NhZWg],0.761,0.501,9,-10.759,0,0.459,0.249,0.0,0.136,0.502,81.998,audio_features,5gOfC9UzZQzTyShqPMrpjT,spotify:track:5gOfC9UzZQzTyShqPMrpjT,https://api.spotify.com/v1/tracks/5gOfC9UzZQzTyShqPMrpjT,https://api.spotify.com/v1/audio-analysis/5gOfC9UzZQzTyShqPMrpjT,317093,4,United States
4,hey now (feat. dody6),"[2YZyLoL8N0Wb9xBt1NhZWg, 4VHa48wXlsDA2vWfgIi7cX]",0.806,0.358,10,-8.769,1,0.117,0.00443,0.00162,0.412,0.188,102.011,audio_features,5S8VwnB4sLi6W0lYTWYylu,spotify:track:5S8VwnB4sLi6W0lYTWYylu,https://api.spotify.com/v1/tracks/5S8VwnB4sLi6W0lYTWYylu,https://api.spotify.com/v1/audio-analysis/5S8VwnB4sLi6W0lYTWYylu,217479,4,United States
5,reincarnated,[2YZyLoL8N0Wb9xBt1NhZWg],0.846,0.779,7,-5.363,1,0.254,0.0534,0.0,0.299,0.748,91.118,audio_features,0RgjEkSbeuStKfT2Pa4Zai,spotify:track:0RgjEkSbeuStKfT2Pa4Zai,https://api.spotify.com/v1/tracks/0RgjEkSbeuStKfT2Pa4Zai,https://api.spotify.com/v1/audio-analysis/0RgjEkSbeuStKfT2Pa4Zai,275740,4,United States
6,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","[2YZyLoL8N0Wb9xBt1NhZWg, 6cUpFVxDYWed9WxtC4QgC5, 7J5UWTbsUFjoSQZQCQCqbQ, 757aE44tKEUQEqRuT6GnEB]",0.796,0.536,6,-7.93,1,0.109,0.0552,0.0,0.112,0.662,83.492,audio_features,4K1Pg0FLno1ltzX3jeqT83,spotify:track:4K1Pg0FLno1ltzX3jeqT83,https://api.spotify.com/v1/tracks/4K1Pg0FLno1ltzX3jeqT83,https://api.spotify.com/v1/audio-analysis/4K1Pg0FLno1ltzX3jeqT83,131241,4,United States
7,man at the garden,[2YZyLoL8N0Wb9xBt1NhZWg],0.817,0.348,7,-10.213,0,0.29,0.51,0.000119,0.11,0.634,91.997,audio_features,5ho7VSXSmI2KM2nDjcnLyz,spotify:track:5ho7VSXSmI2KM2nDjcnLyz,https://api.spotify.com/v1/tracks/5ho7VSXSmI2KM2nDjcnLyz,https://api.spotify.com/v1/audio-analysis/5ho7VSXSmI2KM2nDjcnLyz,233173,4,United States
8,That’s So True,[4tuJ0bMpJh08umKkEXKUI5],0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,audio_features,7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,https://api.spotify.com/v1/audio-analysis/7ne4VBA60CxGM75vw0EYad,166300,4,United States
9,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","[4V8LLVI7PbaPR0K2TGSxFF, 2qoQgPAilErOKCwE2Y8wOG, 3DbwFQlvLxRSi2uX8mf81A, 55Aa2cqylxrFIXC767Z865]",0.505,0.812,1,-3.986,1,0.461,0.285,0.0,0.444,0.664,80.09,audio_features,3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,255916,4,United States
