position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
0,Nueva Era,"[1bAftSH8umNcGZ0uyV7LMg, 7iK8PXO48WeuP03g8YR51W]",0.556,0.724,0,-3.165,1,0.119,0.267,0.0,0.217,0.681,101.097,audio_features,03IpZ9yqJlo3EIgDQUgBSF,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,https://api.spotify.com/v1/tracks/03IpZ9yqJlo3EIgDQUgBSF,https://api.spotify.com/v1/audio-analysis/03IpZ9yqJlo3EIgDQUgBSF,246889,3,Argentina
1,Alegría,"[5Y3MV9DZ0d87NnVm56qSY1, 7FNnA9vBm6EKceENgCGRMb, 0AqlFI0tz2DsEoJlKSIiT9]",0.575,0.658,9,-2.34,0,0.101,0.0463,2.2e-05,0.0627,0.884,84.273,audio_features,0c82YIGpQ5dCaXpTNCk4sb,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,https://api.spotify.com/v1/tracks/0c82YIGpQ5dCaXpTNCk4sb,https://api.spotify.com/v1/audio-analysis/0c82YIGpQ5dCaXpTNCk4sb,167055,5,Argentina
2,Si Un Día Estás Sola | CROSSOVER #7,"[2OhUNb01gLwygOizYvTm0e, 2BTS8Np1YzPQuXjgdlqsBB, 55ru5B05MMBunM1tvH7Di6]",0.63,0.507,1,-4.865,1,0.0647,0.0386,0.0,0.0666,0.744,183.896,audio_features,5AkLEnorFvb7WIJOGqKYVT,spotify:track:5AkLEnorFvb7WIJOGqKYVT,https://api.spotify.com/v1/tracks/5AkLEnorFvb7WIJOGqKYVT,https://api.spotify.com/v1/audio-analysis/5AkLEnorFvb7WIJOGqKYVT,161541,4,Argentina
3,Si Antes Te Hubiera Conocido,[790FomKkXshlbRYZFtlgla],0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824,4,Argentina
4,noviogangsta <3,[0AqlFI0tz2DsEoJlKSIiT9],0.816,0.872,11,-4.27,0,0.0442,0.25,4e-06,0.254,0.94,128.924,audio_features,7yrTny7FLWLbfIzsxoicWj,spotify:track:7yrTny7FLWLbfIzsxoicWj,https://api.spotify.com/v1/tracks/7yrTny7FLWLbfIzsxoicWj,https://api.spotify.com/v1/audio-analysis/7yrTny7FLWLbfIzsxoicWj,157209,4,Argentina
5,Amor de Vago,"[1FxPMQ9A0882eNDx3ZkD6B, 6Gsh7oJoJ5EQUuQk0EhfWL]",0.65,0.507,2,-7.27,1,0.111,0.706,2e-06,0.0725,0.603,179.984,audio_features,5MKbWaXeSQSmzmo7gPQha1,spotify:track:5MKbWaXeSQSmzmo7gPQha1,https://api.spotify.com/v1/tracks/5MKbWaXeSQSmzmo7gPQha1,https://api.spotify.com/v1/audio-analysis/5MKbWaXeSQSmzmo7gPQha1,188424,4,Argentina
6,Q U E V A S H A C E R H O Y ?,"[3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo]",0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,audio_features,0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,https://api.spotify.com/v1/audio-analysis/0Sr7ssScx54yxdM2ols7nW,223320,4,Argentina
7,AGORA,[1DxLCyH42yaHKGK3cl5bvG],0.686,0.871,4,-2.217,0,0.0926,0.254,0.000206,0.34,0.626,169.857,audio_features,0EVxchTHYIgx618OrpcrdQ,spotify:track:0EVxchTHYIgx618OrpcrdQ,https://api.spotify.com/v1/tracks/0EVxchTHYIgx618OrpcrdQ,https://api.spotify.com/v1/audio-analysis/0EVxchTHYIgx618OrpcrdQ,153565,4,Argentina
8,"Perdonarte, ¿Para Qué?","[0ZCO8oVkMj897cKgFH7fRW, 0AqlFI0tz2DsEoJlKSIiT9]",0.672,0.702,11,-4.662,0,0.0314,0.168,0.0,0.0445,0.615,90.039,audio_features,4dLLdfiniBhDP9dlJQIOi4,spotify:track:4dLLdfiniBhDP9dlJQIOi4,https://api.spotify.com/v1/tracks/4dLLdfiniBhDP9dlJQIOi4,https://api.spotify.com/v1/audio-analysis/4dLLdfiniBhDP9dlJQIOi4,193933,4,Argentina
9,Piel,"[5Y3MV9DZ0d87NnVm56qSY1, 06Q5VlSAku57lFzyME3HrM]",0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,audio_features,6kPCcIAGoTeRrh8qrmKa90,spotify:track:6kPCcIAGoTeRrh8qrmKa90,https://api.spotify.com/v1/tracks/6kPCcIAGoTeRrh8qrmKa90,https://api.spotify.com/v1/audio-analysis/6kPCcIAGoTeRrh8qrmKa90,141079,4,Argentina
