Source,Target,Weight
2YZyLoL8N0Wb9xBt1NhZWg,rap,1
2YZyLoL8N0Wb9xBt1NhZWg,hip hop,1
7tYKF4w9nC0nq9CsPZTHyP,r&b,1
7tYKF4w9nC0nq9CsPZTHyP,rap,1
7tYKF4w9nC0nq9CsPZTHyP,pop,1
6cUpFVxDYWed9WxtC4QgC5,rap,1
757aE44tKEUQEqRuT6GnEB,rap,1
757aE44tKEUQEqRuT6GnEB,trap,1
4V8LLVI7PbaPR0K2TGSxFF,rap,1
4V8LLVI7PbaPR0K2TGSxFF,hip hop,1
2qoQgPAilErOKCwE2Y8wOG,hip hop,1
3DbwFQlvLxRSi2uX8mf81A,rap,1
3DbwFQlvLxRSi2uX8mf81A,trap,1
55Aa2cqylxrFIXC767Z865,rap,1
55Aa2cqylxrFIXC767Z865,hip hop,1
55Aa2cqylxrFIXC767Z865,pop,1
55Aa2cqylxrFIXC767Z865,trap,1
6fqjJNsLs7g6F3PXy01Xnw,rap,1
1HY2Jd0NmPuamShAr6KMms,pop,1
0du5cEVh5yTK9QJze8zA0C,pop,1
1iCnM8foFssWlPRLfAbIwo,pop,1
3eVa5w3URK5duf6eyVDbu9,k-pop,1
3eVa5w3URK5duf6eyVDbu9,pop,1
6qqNVTkY8uBg9cP3Jd7DAH,pop,1
67FB4n52MgexGQIG8s0yUH,pop,1
1oSPZhvZMIrWW5I41kPkkY,k-pop,1
1oSPZhvZMIrWW5I41kPkkY,pop,1
1Xyo4u8uXC1ZmMpatF05PJ,r&b,1
1Xyo4u8uXC1ZmMpatF05PJ,pop,1
699OTQXzgjhIYAHMy9RyPD,rap,1
699OTQXzgjhIYAHMy9RyPD,hip hop,1
46UMQ0cW8ToR8egkBRwAxZ,pop,1
66CXWjxzNUsdJxJ2JdwvnR,pop,1
74KM79TiuVKeVCqs8QtB0B,pop,1
4cPHsZM98sKzmV26wlwD2W,rock,1
4iHNK0tOyZPYnBU7nGAgpQ,pop,1
7GlBOeep6PqTfFi59PTUUN,pop,1
20wkVLutqVOYrc0kxFs7rA,r&b,1
5lpH0xAS4fVfLkACg9DAuM,pop,1
5lpH0xAS4fVfLkACg9DAuM,rock,1
3y2cIKLjiOlp1Np37WiUdH,rap,1
3y2cIKLjiOlp1Np37WiUdH,country,1
3y2cIKLjiOlp1Np37WiUdH,pop,1
246dkjvS1zLTtiykXe5h60,rap,1
246dkjvS1zLTtiykXe5h60,pop,1
4oUHIQIBe0LHzYfvXNW4QM,country,1
5j4HeCoUlzhfWtjAfM1acR,house,1
5j4HeCoUlzhfWtjAfM1acR,pop,1
6e3pZKXUxrPfnUPJ960Hd9,pop,1
2tIP7SsRs7vjIcLrU85W8J,hip hop,1
3l9G1G9MxH6DaRhwLklaf5,corrido,1
0ys2OFYzWYB5hRDLCsBqxt,corrido,1
0ys2OFYzWYB5hRDLCsBqxt,sierreno,1
22wbnEMDvgVIAGdFeek6ET,pop,1
2sSGPbdZJkaSE2AbcGOACx,pop,1
77SW9BnxLY8rJ0RciFqkHh,rock,1
77SW9BnxLY8rJ0RciFqkHh,pop,1
2RQXRUsr4IW1f3mKyKsy4B,pop,1
78F6Xkd46aMHkr4AP60TXY,rap,1
78F6Xkd46aMHkr4AP60TXY,trap,1
3E12tRURRvPfHz0hAMCFYc,rap,1
3E12tRURRvPfHz0hAMCFYc,urbano latino,1
3E12tRURRvPfHz0hAMCFYc,trap,1
54seKvtsZauR1iauN0ptpo,rap,1
54seKvtsZauR1iauN0ptpo,urbano latino,1
54seKvtsZauR1iauN0ptpo,trap,1
7iK8PXO48WeuP03g8YR51W,rap,1
7iK8PXO48WeuP03g8YR51W,urbano latino,1
7iK8PXO48WeuP03g8YR51W,trap,1
5CiGnKThu5ctn9pBxv7DGa,pop,1
0CVOcYvRcSvOXyuR4YGKaC,pop,1
4F4pp8NUW08JuXwnoxglpN,rap,1
4F4pp8NUW08JuXwnoxglpN,urbano latino,1
4F4pp8NUW08JuXwnoxglpN,trap,1
0EmeFodog0BfCgMzAIvKQp,pop,1
37S0GFsBW73uqxGXNFeADJ,rap,1
0VZrPa7mWAYXH4CwmYk8Km,rap,1
0VZrPa7mWAYXH4CwmYk8Km,urbano latino,1
0VZrPa7mWAYXH4CwmYk8Km,drill,1
0VZrPa7mWAYXH4CwmYk8Km,trap,1
3SCOuAxngTC1yGjKMcIPEd,pop,1
0tmwSHipWxN12fsoLcFU3B,rap,1
0tmwSHipWxN12fsoLcFU3B,urbano latino,1
0tmwSHipWxN12fsoLcFU3B,pop,1
0tmwSHipWxN12fsoLcFU3B,trap,1
5qPeAT4ikl6gJNUexAOEy0,rock,1
6TKygPpVT29oGUogu4J9Ec,rap,1
6TKygPpVT29oGUogu4J9Ec,urbano latino,1
6TKygPpVT29oGUogu4J9Ec,trap,1
22dFwJoRBV51ue5TGnC7Dt,drill,1
2NeFajzkAQ4UfviWdzf0pK,pop,1
6XyY86QOPPrYVGvF9ch6wz,rap,1
6XyY86QOPPrYVGvF9ch6wz,rock,1
2LRoIwlKmHjgvigdNGBHNo,rap,1
2LRoIwlKmHjgvigdNGBHNo,urbano latino,1
2LRoIwlKmHjgvigdNGBHNo,pop,1
