Id,Label,main_country,Type
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,United States,Artist
7tYKF4w9nC0nq9CsPZTHyP,SZA,Malaysia,Artist
6cUpFVxDYWed9WxtC4QgC5,Wallie the Sensei,United States,Artist
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,United States,Artist
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",Canada,Artist
2qoQgPAilErOKCwE2Y8wOG,GloRilla,United States,Artist
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,United States,Artist
55Aa2cqylxrFIXC767Z865,Lil Wayne,Canada,Artist
6fqjJNsLs7g6F3PXy01Xnw,AzChike,United States,Artist
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Andorra,Artist
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Malaysia,Artist
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,Andorra,Artist
3eVa5w3URK5duf6eyVDbu9,ROSÉ,Australia,Artist
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Estonia,Artist
67FB4n52MgexGQIG8s0yUH,Lola Young,United States,Artist
1oSPZhvZMIrWW5I41kPkkY,Jimin,Belarus,Artist
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Austria,Artist
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,Australia,Artist
46UMQ0cW8ToR8egkBRwAxZ,Cynthia Erivo,United States,Artist
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,United States,Artist
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,Singapore,Artist
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,Canada,Artist
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,Austria,Artist
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,Canada,Artist
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Philippines,Artist
5lpH0xAS4fVfLkACg9DAuM,Wham!,Austria,Artist
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,Australia,Artist
246dkjvS1zLTtiykXe5h60,Post Malone,Australia,Artist
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,Canada,Artist
5j4HeCoUlzhfWtjAfM1acR,Stromae,United States,Artist
6e3pZKXUxrPfnUPJ960Hd9,Pomme,United States,Artist
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,Australia,Artist
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,Mexico,Artist
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,Mexico,Artist
22wbnEMDvgVIAGdFeek6ET,Benson Boone,Australia,Artist
